prfInformationCarrier,prfYear,prfMonth,prfPrdOilNetMillSm3,prfPrdGasNetBillSm3,prfPrdNGLNetMillSm3,prfPrdCondensateNetMillSm3,prfPrdOeNetMillSm3,prfPrdProducedWaterInFieldMillSm3,prfNpdidInformationCarrier
URD,2005,11,0.05850,0.00598,0.00135,0.00000,0.06584,0.00000,2834734
URD,2005,12,0.13262,0.00539,0.00125,0.00000,0.13926,0.00000,2834734
URD,2006,1,0.16214,0.00628,0.00169,0.00000,0.17011,0.00628,2834734
URD,2006,2,0.20602,0.01034,0.00288,0.00000,0.21925,0.00992,2834734
URD,2006,3,0.19594,0.00924,0.00241,0.00000,0.20759,0.02688,2834734
URD,2006,4,0.15434,0.00553,0.00143,0.00000,0.16130,0.02702,2834734
URD,2006,5,0.17698,0.00828,0.00216,0.00000,0.18742,0.01791,2834734
URD,2006,6,0.13961,0.00683,0.00184,0.00000,0.14828,0.02897,2834734
URD,2006,7,0.21150,0.00893,0.00246,0.00000,0.22289,0.03042,2834734
URD,2006,8,0.20463,0.00797,0.00202,0.00000,0.21462,0.03431,2834734
URD,2006,9,0.18931,0.00076,0.00020,0.00000,0.19026,0.03569,2834734
URD,2006,10,0.16940,0.00157,0.00034,0.00000,0.17130,0.04423,2834734
URD,2006,11,0.12889,0.00334,0.00078,0.00000,0.13302,0.03931,2834734
URD,2006,12,0.10593,0.00003,0.00001,0.00000,0.10597,0.04980,2834734
URD,2007,1,0.00091,0.00000,0.00000,0.00000,0.00091,0.00137,2834734
URD,2007,2,0.03733,0.00134,0.00034,0.00000,0.03901,0.02361,2834734
URD,2007,3,0.12573,0.00459,0.00115,0.00000,0.13147,0.05327,2834734
URD,2007,4,0.12129,0.00341,0.00081,0.00000,0.12550,0.05528,2834734
URD,2007,5,0.10801,0.00370,0.00091,0.00000,0.11262,0.06037,2834734
URD,2007,6,0.09057,0.00289,0.00073,0.00000,0.09418,0.05849,2834734
URD,2007,7,0.07864,0.00260,0.00068,0.00000,0.08192,0.05169,2834734
URD,2007,8,0.08367,0.00255,0.00069,0.00000,0.08690,0.05555,2834734
URD,2007,9,0.07078,0.00194,0.00053,0.00000,0.07325,0.05062,2834734
URD,2007,10,0.04156,0.00000,0.00000,0.00000,0.04156,0.02399,2834734
URD,2007,11,0.03624,0.00531,0.00157,0.00000,0.04311,0.04742,2834734
URD,2007,12,0.05139,0.00334,0.00096,0.00000,0.05569,0.04487,2834734
URD,2008,1,0.05759,0.00258,0.00070,0.00000,0.06088,0.04345,2834734
URD,2008,2,0.04904,0.00217,0.00062,0.00000,0.05183,0.03809,2834734
URD,2008,3,0.05187,0.00133,0.00037,0.00000,0.05357,0.04522,2834734
URD,2008,4,0.03569,0.00270,0.00070,0.00000,0.03909,0.04408,2834734
URD,2008,5,0.03597,0.00392,0.00110,0.00000,0.04099,0.04621,2834734
URD,2008,6,0.04341,0.00248,0.00065,0.00000,0.04655,0.04664,2834734
URD,2008,7,0.01973,0.00132,0.00034,0.00000,0.02139,0.02011,2834734
URD,2008,8,0.00744,0.00019,0.00005,0.00000,0.00767,0.00809,2834734
URD,2008,9,0.04641,0.00090,0.00023,0.00000,0.04754,0.04723,2834734
URD,2008,10,0.05287,0.00089,0.00024,0.00000,0.05401,0.05114,2834734
URD,2008,11,0.05823,0.00125,0.00033,0.00000,0.05980,0.05584,2834734
URD,2008,12,0.05220,0.00091,0.00023,0.00000,0.05334,0.04763,2834734
URD,2009,1,0.04647,0.00040,0.00011,0.00000,0.04697,0.03620,2834734
URD,2009,2,0.04177,0.00046,0.00012,0.00000,0.04235,0.03273,2834734
URD,2009,3,0.02331,0.00021,0.00006,0.00000,0.02358,0.02000,2834734
URD,2009,4,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,2834734
URD,2009,5,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,2834734
URD,2009,6,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,2834734
URD,2009,7,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,2834734
URD,2009,8,0.05913,0.00205,0.00057,0.00000,0.06176,0.07100,2834734
URD,2009,9,0.04818,0.00120,0.00032,0.00000,0.04970,0.07195,2834734
URD,2009,10,0.05388,0.00079,0.00021,0.00000,0.05488,0.06153,2834734
URD,2009,11,0.04640,0.00074,0.00020,0.00000,0.04734,0.05552,2834734
URD,2009,12,0.04418,0.00067,0.00019,0.00000,0.04504,0.05228,2834734
URD,2010,1,0.03747,0.00051,0.00013,0.00000,0.03811,0.05838,2834734
URD,2010,2,0.04002,0.00061,0.00017,0.00000,0.04080,0.09564,2834734
URD,2010,3,0.04372,0.00079,0.00022,0.00000,0.04472,0.09923,2834734
URD,2010,4,0.04062,0.00007,0.00002,0.00000,0.04071,0.10203,2834734
URD,2010,5,0.03695,0.00048,0.00013,0.00000,0.03756,0.09454,2834734
URD,2010,6,0.04011,0.00014,0.00004,0.00000,0.04029,0.04961,2834734
URD,2010,7,0.03977,0.00000,0.00000,0.00000,0.03977,0.05014,2834734
URD,2010,8,0.01790,0.00001,0.00000,0.00000,0.01791,0.02099,2834734
URD,2010,9,0.02005,0.00013,0.00003,0.00000,0.02021,0.02803,2834734
URD,2010,10,0.02466,0.00000,0.00000,0.00000,0.02466,0.02852,2834734
URD,2010,11,0.03507,0.00018,0.00005,0.00000,0.03530,0.05461,2834734
URD,2010,12,0.03777,0.00000,0.00000,0.00000,0.03777,0.05385,2834734
URD,2011,1,0.03290,0.00009,0.00002,0.00000,0.03300,0.05052,2834734
URD,2011,2,0.03003,0.00026,0.00007,0.00000,0.03037,0.04523,2834734
URD,2011,3,0.03318,0.00009,0.00003,0.00000,0.03330,0.04886,2834734
URD,2011,4,0.01855,0.00000,0.00000,0.00000,0.01855,0.03214,2834734
URD,2011,5,0.00391,0.00000,0.00000,0.00000,0.00391,0.00662,2834734
URD,2011,6,0.02338,0.00006,0.00002,0.00000,0.02345,0.04709,2834734
URD,2011,7,0.02846,0.00037,0.00011,0.00000,0.02893,0.05045,2834734
URD,2011,8,0.03204,0.00019,0.00006,0.00000,0.03229,0.05212,2834734
URD,2011,9,0.02421,0.00010,0.00003,0.00000,0.02433,0.05614,2834734
URD,2011,10,0.03122,0.00032,0.00009,0.00000,0.03163,0.06684,2834734
URD,2011,11,0.03085,0.00012,0.00004,0.00000,0.03101,0.07162,2834734
URD,2011,12,0.02548,0.00000,0.00000,0.00000,0.02548,0.05297,2834734
URD,2012,1,0.02821,0.00000,0.00000,0.00000,0.02821,0.09171,2834734
URD,2012,2,0.03049,0.00000,0.00000,0.00000,0.03049,0.06593,2834734
URD,2012,3,0.02625,0.00019,0.00006,0.00000,0.02649,0.04128,2834734
URD,2012,4,0.02914,0.00008,0.00002,0.00000,0.02925,0.08759,2834734
URD,2012,5,0.03101,0.00018,0.00005,0.00000,0.03124,0.07148,2834734
URD,2012,6,0.02911,0.00030,0.00008,0.00000,0.02950,0.04263,2834734
URD,2012,7,0.02724,0.00044,0.00012,0.00000,0.02781,0.04449,2834734
URD,2012,8,0.02567,0.00108,0.00030,0.00000,0.02704,0.06418,2834734
URD,2012,9,0.02136,0.00000,0.00000,0.00000,0.02136,0.04120,2834734
URD,2012,10,0.02658,0.00000,0.00000,0.00000,0.02658,0.04837,2834734
URD,2012,11,0.02438,0.00000,0.00000,0.00000,0.02438,0.04112,2834734
URD,2012,12,0.02527,0.00000,0.00000,0.00000,0.02527,0.05445,2834734
URD,2013,1,0.02360,0.00000,0.00000,0.00000,0.02360,0.08298,2834734
URD,2013,2,0.02254,0.00000,0.00000,0.00000,0.02254,0.07015,2834734
URD,2013,3,0.02295,0.00638,0.00136,0.00000,0.03069,0.04000,2834734
URD,2013,4,0.02534,0.00419,0.00092,0.00000,0.03044,0.04090,2834734
URD,2013,5,0.02451,0.00323,0.00072,0.00000,0.02845,0.04207,2834734
URD,2013,6,0.02713,0.00203,0.00045,0.00000,0.02962,0.05081,2834734
URD,2013,7,0.03001,0.00332,0.00075,0.00000,0.03408,0.05723,2834734
URD,2013,8,0.02845,0.00356,0.00082,0.00000,0.03282,0.05706,2834734
URD,2013,9,0.00428,0.00061,0.00013,0.00000,0.00502,0.00842,2834734
URD,2013,10,0.00294,0.00000,0.00000,0.00000,0.00294,0.01073,2834734
URD,2013,11,0.02979,0.00137,0.00031,0.00000,0.03147,0.05676,2834734
URD,2013,12,0.03160,0.00700,0.00161,0.00000,0.04020,0.05531,2834734
URD,2014,1,0.03384,0.00508,0.00108,0.00000,0.04000,0.05618,2834734
URD,2014,2,0.03066,0.00367,0.00085,0.00000,0.03519,0.04984,2834734
URD,2014,3,0.03239,0.00485,0.00108,0.00000,0.03832,0.04960,2834734
URD,2014,4,0.03023,0.00312,0.00065,0.00000,0.03399,0.04656,2834734
URD,2014,5,0.03343,0.00762,0.00155,0.00000,0.04261,0.05141,2834734
URD,2014,6,0.03222,0.00685,0.00152,0.00000,0.04060,0.04968,2834734
URD,2014,7,0.03421,0.00680,0.00147,0.00000,0.04248,0.05161,2834734
URD,2014,8,0.03221,0.00677,0.00155,0.00000,0.04053,0.05008,2834734
URD,2014,9,0.03079,0.00618,0.00138,0.00000,0.03835,0.04696,2834734
URD,2014,10,0.03155,0.00353,0.00101,0.00000,0.03609,0.04896,2834734
URD,2014,11,0.03256,0.00504,0.00120,0.00000,0.03880,0.04896,2834734
URD,2014,12,0.03342,0.00469,0.00119,0.00000,0.03930,0.04903,2834734
URD,2015,1,0.02283,0.00219,0.00057,0.00000,0.02560,0.07446,2834734
URD,2015,2,0.01884,0.00008,0.00001,0.00000,0.01894,0.06466,2834734
URD,2015,3,0.02341,0.00000,0.00000,0.00000,0.02341,0.08563,2834734
URD,2015,4,0.02301,0.00000,0.00000,0.00000,0.02301,0.08496,2834734
URD,2015,5,0.02358,0.00273,0.00048,0.00000,0.02680,0.08590,2834734
URD,2015,6,0.02344,0.00419,0.00057,0.00000,0.02820,0.07872,2834734
URD,2015,7,0.02597,0.00543,0.00081,0.00000,0.03221,0.07654,2834734
URD,2015,8,0.02085,0.00045,0.00006,0.00000,0.02136,0.06829,2834734
URD,2015,9,0.02497,0.00042,0.00005,0.00000,0.02544,0.07489,2834734
URD,2015,10,0.02461,0.00011,0.00001,0.00000,0.02473,0.07245,2834734
URD,2015,11,0.01477,0.00040,0.00017,0.00000,0.01534,0.04976,2834734
URD,2015,12,0.01032,0.00090,0.00034,0.00000,0.01156,0.06162,2834734
URD,2016,1,0.01691,0.00148,0.00046,0.00000,0.01884,0.07542,2834734
URD,2016,2,0.01811,0.00094,0.00032,0.00000,0.01937,0.06607,2834734
