prfInformationCarrier,prfYear,prfMonth,prfPrdOilNetMillSm3,prfPrdGasNetBillSm3,prfPrdNGLNetMillSm3,prfPrdCondensateNetMillSm3,prfPrdOeNetMillSm3,prfPrdProducedWaterInFieldMillSm3,prfNpdidInformationCarrier
VALE,2002,6,0.00443,0.00000,0.00000,0.00000,0.00443,0.00000,1578893
VALE,2002,7,0.00625,0.00000,0.00000,0.00000,0.00625,0.00000,1578893
VALE,2002,8,0.00469,0.00000,0.00000,0.00000,0.00469,0.00000,1578893
VALE,2002,9,0.00814,0.00000,0.00000,0.00000,0.00814,0.00000,1578893
VALE,2002,10,0.00720,0.00000,0.00000,0.00000,0.00720,0.00000,1578893
VALE,2002,11,0.00944,0.00000,0.00000,0.00000,0.00944,0.00000,1578893
VALE,2002,12,0.01401,0.00000,0.00000,0.00000,0.01401,0.00000,1578893
VALE,2003,1,0.01597,0.01388,0.00000,0.00000,0.02985,0.00000,1578893
VALE,2003,2,0.01592,0.01303,0.00000,0.00000,0.02895,0.00000,1578893
VALE,2003,3,0.01123,0.00920,0.00000,0.00000,0.02043,0.00000,1578893
VALE,2003,4,0.00966,0.00694,0.00000,0.00000,0.01659,0.00000,1578893
VALE,2003,5,0.01647,0.01542,0.00000,0.00000,0.03188,0.00000,1578893
VALE,2003,6,0.01536,0.01105,0.00000,0.00000,0.02641,0.00000,1578893
VALE,2003,7,0.00750,0.00231,0.00000,0.00000,0.00982,0.00000,1578893
VALE,2003,8,0.00914,0.00962,0.00000,0.00000,0.01875,0.00000,1578893
VALE,2003,9,0.01368,0.00973,0.00000,0.00000,0.02342,0.00000,1578893
VALE,2003,10,0.01198,0.00902,0.00000,0.00000,0.02101,0.00000,1578893
VALE,2003,11,0.01080,0.00779,0.00000,0.00000,0.01858,0.00000,1578893
VALE,2003,12,0.01497,0.01097,0.00000,0.00000,0.02594,0.00000,1578893
VALE,2004,1,0.01545,0.01306,0.00000,0.00000,0.02851,0.00000,1578893
VALE,2004,2,0.01304,0.01174,0.00000,0.00000,0.02477,0.00000,1578893
VALE,2004,3,0.01567,0.01356,0.00000,0.00000,0.02923,0.00000,1578893
VALE,2004,4,0.01604,0.01267,0.00000,0.00000,0.02871,0.00000,1578893
VALE,2004,5,0.01418,0.01279,0.00000,0.00000,0.02697,0.00000,1578893
VALE,2004,6,0.01133,0.00755,0.00000,0.00000,0.01888,0.00000,1578893
VALE,2004,7,0.01259,0.01120,0.00000,0.00000,0.02379,0.00000,1578893
VALE,2004,8,0.00822,0.00469,0.00000,0.00000,0.01291,0.00000,1578893
VALE,2004,9,0.01015,0.00805,0.00000,0.00000,0.01820,0.00000,1578893
