prfInformationCarrier,prfYear,prfMonth,prfPrdOilNetMillSm3,prfPrdGasNetBillSm3,prfPrdNGLNetMillSm3,prfPrdCondensateNetMillSm3,prfPrdOeNetMillSm3,prfPrdProducedWaterInFieldMillSm3,prfNpdidInformationCarrier
VALEMON,2014,12,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,20460969
VALEMON,2015,1,0.00986,0.07683,0.00004,0.00000,0.08673,0.00210,20460969
VALEMON,2015,2,0.02324,0.15273,0.00098,0.00000,0.17695,0.00314,20460969
VALEMON,2015,3,0.00922,0.03132,0.00098,0.00000,0.04151,0.00066,20460969
VALEMON,2015,4,0.00589,0.02870,0.00069,0.00000,0.03528,0.00049,20460969
VALEMON,2015,5,0.00635,0.02880,0.00129,0.00000,0.03645,0.00039,20460969
VALEMON,2015,6,0.00718,0.04416,0.00156,0.00000,0.05290,0.00080,20460969
VALEMON,2015,7,0.02586,0.11790,0.00230,0.00000,0.14606,0.00406,20460969
VALEMON,2015,8,0.03726,0.20623,0.00541,0.00000,0.24891,0.00383,20460969
VALEMON,2015,9,0.03735,0.19687,0.00430,0.00000,0.23851,0.00351,20460969
VALEMON,2015,10,0.02665,0.14824,0.00308,0.00000,0.17796,0.00308,20460969
VALEMON,2015,11,0.03613,0.23697,0.00305,0.00000,0.27615,0.00455,20460969
VALEMON,2015,12,0.04098,0.24770,0.00476,0.00000,0.29343,0.00512,20460969
VALEMON,2016,1,0.03947,0.28355,0.00547,0.00000,0.32849,0.00565,20460969
VALEMON,2016,2,0.03659,0.30584,0.00331,0.00000,0.34573,0.00499,20460969
VALEMON,2016,3,0.03845,0.28397,0.00303,0.00000,0.32545,0.00491,20460969
VALEMON,2016,4,0.03475,0.28517,0.00011,0.00000,0.32003,0.00500,20460969
VALEMON,2016,5,0.04189,0.27799,0.00013,0.00000,0.32002,0.00480,20460969
VALEMON,2016,6,0.02087,0.16733,0.00008,0.00000,0.18829,0.00307,20460969
VALEMON,2016,7,0.02434,0.16551,0.00007,0.00000,0.18992,0.00337,20460969
VALEMON,2016,8,0.01192,0.06318,0.00000,0.00000,0.07510,0.00309,20460969
VALEMON,2016,9,0.06570,0.22812,0.00004,0.00000,0.29385,0.02079,20460969
