,prfInformationCarrier,prfYear,prfMonth,prfPrdOilNetMillSm3,prfPrdGasNetBillSm3,prfPrdNGLNetMillSm3,prfPrdCondensateNetMillSm3,prfPrdOeNetMillSm3,prfPrdProducedWaterInFieldMillSm3,prfNpdidInformationCarrier
14918,VALHALL,1982,10,0.00587,0.0,0.00016,0.0,0.00603,0.0,43548
14919,VALHALL,1982,11,0.03284,0.0,0.0008300000000000001,0.0,0.03368,0.0,43548
14920,VALHALL,1982,12,0.0467,0.0,0.00106,0.0,0.047760000000000004,0.0,43548
14921,VALHALL,1983,1,0.04326,0.0,0.00125,0.0,0.04451,0.0,43548
14922,VALHALL,1983,2,0.03841,0.0,0.00124,0.0,0.03965,0.0,43548
14923,VALHALL,1983,3,0.04036,0.0,0.00195,0.0,0.0423,0.0,43548
14924,VALHALL,1983,4,0.044739999999999995,0.0,0.00262,0.0,0.04735,0.0,43548
14925,VALHALL,1983,5,0.04966,0.0,0.00283,0.0,0.052489999999999995,0.0,43548
14926,VALHALL,1983,6,0.057960000000000005,0.0,0.004520000000000001,0.0,0.062479999999999994,0.0,43548
14927,VALHALL,1983,7,0.06017,0.00263,0.00476,0.0,0.06756000000000001,0.0,43548
14928,VALHALL,1983,8,0.07126,0.008140000000000001,0.00524,0.0,0.08463,0.0,43548
14929,VALHALL,1983,9,0.10630999999999999,0.015130000000000001,0.00834,0.0,0.12977,0.0,43548
14930,VALHALL,1983,10,0.12819,0.01931,0.00884,0.0,0.15634,0.0,43548
14931,VALHALL,1983,11,0.14462,0.02417,0.01209,0.0,0.18087999999999999,0.0,43548
14932,VALHALL,1983,12,0.18177000000000001,0.031939999999999996,0.013009999999999999,0.0,0.22671999999999998,0.0,43548
14933,VALHALL,1984,1,0.20595,0.03675,0.01566,0.0,0.25835,0.0,43548
14934,VALHALL,1984,2,0.22543000000000002,0.04145,0.01826,0.0,0.28514,0.0,43548
14935,VALHALL,1984,3,0.26121,0.04829,0.02132,0.0,0.33082,0.0,43548
14936,VALHALL,1984,4,0.14868,0.02792,0.0131,0.0,0.18971,0.0,43548
14937,VALHALL,1984,5,0.25993,0.04893,0.0238,0.0,0.33265,0.0,43548
14938,VALHALL,1984,6,0.25456999999999996,0.04734,0.02256,0.0,0.32447,0.0,43548
14939,VALHALL,1984,7,0.27485,0.05173,0.02143,0.0,0.34801,0.0,43548
14940,VALHALL,1984,8,0.20492,0.02967,0.01687,0.0,0.25145,0.0,43548
14941,VALHALL,1984,9,0.25902,0.045239999999999995,0.02278,0.0,0.32704,0.0,43548
14942,VALHALL,1984,10,0.22573000000000001,0.041139999999999996,0.021490000000000002,0.0,0.28836,0.0,43548
14943,VALHALL,1984,11,0.24541,0.04374,0.02087,0.0,0.31001,0.0,43548
14944,VALHALL,1984,12,0.27763000000000004,0.05055,0.02352,0.0,0.35169,0.0,43548
14945,VALHALL,1985,1,0.27658,0.0496,0.02171,0.0,0.34788,0.0,43548
14946,VALHALL,1985,2,0.23918000000000003,0.0421,0.02198,0.0,0.30326,0.0,43548
14947,VALHALL,1985,3,0.28431999999999996,0.05106,0.03416,0.0,0.36954000000000004,0.0,43548
14948,VALHALL,1985,4,0.27599,0.04936,0.03173,0.0,0.35707,0.0,43548
14949,VALHALL,1985,5,0.28826,0.05001,0.0326,0.0,0.37087,0.0,43548
14950,VALHALL,1985,6,0.27692,0.04782,0.029689999999999998,0.0,0.35443,0.0,43548
14951,VALHALL,1985,7,0.25958000000000003,0.04396,0.032560000000000006,0.0,0.33609,0.0,43548
14952,VALHALL,1985,8,0.17997,0.0265,0.02174,0.0,0.22821999999999998,0.0,43548
14953,VALHALL,1985,9,0.16212000000000001,0.02385,0.01945,0.0,0.20542,0.0,43548
14954,VALHALL,1985,10,0.16976,0.02597,0.0199,0.0,0.21563000000000002,0.0,43548
14955,VALHALL,1985,11,0.18538,0.028710000000000003,0.02375,0.0,0.23785,0.0,43548
14956,VALHALL,1985,12,0.18311,0.02908,0.02369,0.0,0.23588,0.0,43548
14957,VALHALL,1986,1,0.20764000000000002,0.03266,0.02323,0.0,0.26352,0.0,43548
14958,VALHALL,1986,2,0.2027,0.03258,0.02279,0.0,0.25808000000000003,0.0,43548
14959,VALHALL,1986,3,0.21603000000000003,0.0345,0.02369,0.0,0.27421999999999996,0.0,43548
14960,VALHALL,1986,4,0.06318,0.009040000000000001,0.0061600000000000005,0.0,0.07837999999999999,0.0,43548
14961,VALHALL,1986,5,0.21703000000000003,0.03537,0.02427,0.0,0.27666999999999997,0.0,43548
14962,VALHALL,1986,6,0.21766,0.03703,0.02707,0.0,0.28176,0.0,43548
14963,VALHALL,1986,7,0.21963000000000002,0.03599,0.02402,0.0,0.27964,0.0,43548
14964,VALHALL,1986,8,0.22463000000000002,0.03612,0.02502,0.0,0.28576999999999997,0.0,43548
14965,VALHALL,1986,9,0.23219,0.03827,0.02469,0.0,0.29514,0.0,43548
14966,VALHALL,1986,10,0.24694000000000002,0.04978,0.02458,0.0,0.3213,0.0,43548
14967,VALHALL,1986,11,0.24397,0.03726,0.02436,0.0,0.30559000000000003,0.0,43548
14968,VALHALL,1986,12,0.2468,0.05097,0.02727,0.0,0.32505,0.0,43548
14969,VALHALL,1987,1,0.28899,0.04682,0.02938,0.0,0.36519,0.0,43548
14970,VALHALL,1987,2,0.27854,0.0462,0.02928,0.0,0.35402,0.0,43548
14971,VALHALL,1987,3,0.30204000000000003,0.050519999999999995,0.03215,0.0,0.38471,0.0,43548
14972,VALHALL,1987,4,0.28747,0.047810000000000005,0.03092,0.0,0.36619,0.0,43548
14973,VALHALL,1987,5,0.30446999999999996,0.05123,0.030719999999999997,0.0,0.38642,0.0,43548
14974,VALHALL,1987,6,0.29846,0.0538,0.02752,0.0,0.37978,0.0,43548
14975,VALHALL,1987,7,0.32718,0.05975,0.0311,0.0,0.41803,0.0,43548
14976,VALHALL,1987,8,0.09211,0.01619,0.00881,0.0,0.1171,0.0,43548
14977,VALHALL,1987,9,0.33011,0.051039999999999995,0.02742,0.0,0.40858,0.0,43548
14978,VALHALL,1987,10,0.33665,0.07116,0.03198,0.0,0.43978999999999996,0.0,43548
14979,VALHALL,1987,11,0.32168,0.06957,0.030510000000000002,0.0,0.42176,0.0,43548
14980,VALHALL,1987,12,0.31046,0.05774,0.026160000000000003,0.0,0.39437,0.0,43548
14981,VALHALL,1988,1,0.31683,0.056760000000000005,0.029580000000000002,0.0,0.40318000000000004,0.0,43548
14982,VALHALL,1988,2,0.29614,0.05549,0.02765,0.0,0.37928,0.0,43548
14983,VALHALL,1988,3,0.31289,0.05898,0.029039999999999996,0.0,0.40092,0.0,43548
14984,VALHALL,1988,4,0.30163,0.06522,0.02963,0.0,0.39648,0.0,43548
14985,VALHALL,1988,5,0.31035,0.058289999999999995,0.027469999999999998,0.0,0.39611,0.0,43548
14986,VALHALL,1988,6,0.27703,0.05011,0.0263,0.0,0.35343,0.0,43548
14987,VALHALL,1988,7,0.30669,0.056679999999999994,0.027589999999999996,0.0,0.39095,0.0,43548
14988,VALHALL,1988,8,0.31394,0.05861,0.02967,0.0,0.40223000000000003,0.0,43548
14989,VALHALL,1988,9,0.30139,0.05703,0.02913,0.0,0.38755,0.0,43548
14990,VALHALL,1988,10,0.31393000000000004,0.06089,0.027389999999999998,0.0,0.40221,0.0,43548
14991,VALHALL,1988,11,0.31321,0.06302999999999999,0.02607,0.0,0.40231,0.0,43548
14992,VALHALL,1988,12,0.33469,0.0684,0.02496,0.0,0.42805,0.0,43548
14993,VALHALL,1989,1,0.34846,0.06888,0.02609,0.0,0.44342,0.0,43548
14994,VALHALL,1989,2,0.3126,0.06327999999999999,0.025330000000000002,0.0,0.4012,0.0,43548
14995,VALHALL,1989,3,0.34326,0.06729,0.03007,0.0,0.44061999999999996,0.0,43548
14996,VALHALL,1989,4,0.3391,0.06597,0.031030000000000002,0.0,0.43611000000000005,0.0,43548
14997,VALHALL,1989,5,0.35191999999999996,0.06964,0.03253,0.0,0.4541,0.0,43548
14998,VALHALL,1989,6,0.27821,0.05368,0.02501,0.0,0.3569,0.0,43548
14999,VALHALL,1989,7,0.37763,0.07022,0.03205,0.0,0.4799,0.0,43548
15000,VALHALL,1989,8,0.38835,0.08037000000000001,0.03347,0.0,0.5021899999999999,0.0,43548
15001,VALHALL,1989,9,0.36863,0.07363,0.036469999999999995,0.0,0.47873000000000004,0.0,43548
15002,VALHALL,1989,10,0.37971,0.07654,0.036680000000000004,0.0,0.49291999999999997,0.0,43548
15003,VALHALL,1989,11,0.3553,0.07123,0.033530000000000004,0.0,0.46006,0.0,43548
15004,VALHALL,1989,12,0.39563000000000004,0.08092,0.03386,0.0,0.5104,0.0,43548
15005,VALHALL,1990,1,0.39043,0.08423,0.03597,0.0,0.51063,0.0,43548
15006,VALHALL,1990,2,0.34513,0.07343999999999999,0.03345,0.0,0.45202,0.0,43548
15007,VALHALL,1990,3,0.36234,0.07836,0.03335,0.0,0.47405,0.0,43548
15008,VALHALL,1990,4,0.34686999999999996,0.07524,0.03307,0.0,0.45519,0.0,43548
15009,VALHALL,1990,5,0.34794,0.07755,0.03374,0.0,0.45923,0.0,43548
