prfInformationCarrier,prfYear,prfMonth,prfPrdOilNetMillSm3,prfPrdGasNetBillSm3,prfPrdNGLNetMillSm3,prfPrdCondensateNetMillSm3,prfPrdOeNetMillSm3,prfPrdProducedWaterInFieldMillSm3,prfNpdidInformationCarrier
VEST EKOFISK,1977,5,0.00254,0.00000,0.00000,0.00000,0.00254,0.00000,43513
VEST EKOFISK,1977,6,0.28406,0.00000,0.00000,0.00000,0.28406,0.00000,43513
VEST EKOFISK,1977,7,0.08629,0.00000,0.00000,0.00000,0.08629,0.00000,43513
VEST EKOFISK,1977,8,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,43513
VEST EKOFISK,1977,9,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,43513
VEST EKOFISK,1977,10,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,43513
VEST EKOFISK,1977,11,0.00141,0.00113,0.00000,0.00000,0.00253,0.00000,43513
VEST EKOFISK,1977,12,0.37839,0.25567,0.00000,0.00000,0.63406,0.00000,43513
VEST EKOFISK,1978,1,0.41071,0.30346,0.00000,0.00000,0.71417,0.00000,43513
VEST EKOFISK,1978,2,0.36870,0.31025,0.00000,0.00000,0.67895,0.00000,43513
VEST EKOFISK,1978,3,0.34078,0.31516,0.00000,0.00000,0.65594,0.00000,43513
VEST EKOFISK,1978,4,0.34980,0.35711,0.00000,0.00000,0.70691,0.00000,43513
VEST EKOFISK,1978,5,0.31421,0.34505,0.00000,0.00000,0.65927,0.00000,43513
VEST EKOFISK,1978,6,0.28112,0.31205,0.00000,0.00000,0.59317,0.00000,43513
VEST EKOFISK,1978,7,0.29908,0.37618,0.00000,0.00000,0.67526,0.00000,43513
VEST EKOFISK,1978,8,0.33125,0.40898,0.00000,0.00000,0.74023,0.00000,43513
VEST EKOFISK,1978,9,0.31412,0.39992,0.00000,0.00000,0.71405,0.00000,43513
VEST EKOFISK,1978,10,0.26970,0.37927,0.00000,0.00000,0.64897,0.00000,43513
VEST EKOFISK,1978,11,0.28449,0.40811,0.00000,0.00000,0.69259,0.00000,43513
VEST EKOFISK,1978,12,0.28323,0.43019,0.00000,0.00000,0.71342,0.00000,43513
VEST EKOFISK,1979,1,0.27183,0.41983,0.00000,0.00000,0.69166,0.00000,43513
VEST EKOFISK,1979,2,0.20228,0.35415,0.00000,0.00000,0.55643,0.00000,43513
