prfInformationCarrier,prfYear,prfMonth,prfPrdOilNetMillSm3,prfPrdGasNetBillSm3,prfPrdNGLNetMillSm3,prfPrdCondensateNetMillSm3,prfPrdOeNetMillSm3,prfPrdProducedWaterInFieldMillSm3,prfNpdidInformationCarrier
VILJE,2008,8,0.07455,0.00324,0.00000,0.00000,0.07779,0.00000,3392471
VILJE,2008,9,0.07946,0.00354,0.00000,0.00000,0.08300,0.00002,3392471
VILJE,2008,10,0.10425,0.00603,0.00000,0.00000,0.11028,0.00002,3392471
VILJE,2008,11,0.12453,0.00817,0.00000,0.00000,0.13270,0.00002,3392471
VILJE,2008,12,0.13644,0.00710,0.00000,0.00000,0.14354,0.00002,3392471
VILJE,2009,1,0.12000,0.00599,0.00000,0.00000,0.12599,0.00001,3392471
VILJE,2009,2,0.13700,0.00751,0.00000,0.00000,0.14451,0.00005,3392471
VILJE,2009,3,0.14514,0.00592,0.00000,0.00000,0.15106,0.00006,3392471
VILJE,2009,4,0.12349,0.00540,0.00000,0.00000,0.12890,0.00061,3392471
VILJE,2009,5,0.08672,0.00382,0.00000,0.00000,0.09054,0.00045,3392471
VILJE,2009,6,0.13790,0.00633,0.00000,0.00000,0.14423,0.00026,3392471
VILJE,2009,7,0.14668,0.00712,0.00000,0.00000,0.15380,0.00041,3392471
VILJE,2009,8,0.09726,0.00542,0.00000,0.00000,0.10267,0.00043,3392471
VILJE,2009,9,0.13927,0.00657,0.00000,0.00000,0.14584,0.00028,3392471
VILJE,2009,10,0.15688,0.00773,0.00000,0.00000,0.16461,0.00064,3392471
VILJE,2009,11,0.13530,0.00630,0.00000,0.00000,0.14160,0.00026,3392471
VILJE,2009,12,0.11247,0.00567,0.00000,0.00000,0.11813,0.00028,3392471
VILJE,2010,1,0.13595,0.00666,0.00000,0.00000,0.14261,0.00032,3392471
VILJE,2010,2,0.13496,0.00653,0.00000,0.00000,0.14150,0.00033,3392471
VILJE,2010,3,0.15430,0.00757,0.00000,0.00000,0.16186,0.00028,3392471
VILJE,2010,4,0.15565,0.00754,0.00000,0.00000,0.16320,0.00026,3392471
VILJE,2010,5,0.15891,0.00755,0.00000,0.00000,0.16646,0.00000,3392471
VILJE,2010,6,0.15104,0.00733,0.00000,0.00000,0.15837,0.00002,3392471
VILJE,2010,7,0.16115,0.00753,0.00000,0.00000,0.16868,0.00001,3392471
VILJE,2010,8,0.16399,0.00748,0.00000,0.00000,0.17147,0.00001,3392471
VILJE,2010,9,0.15039,0.00690,0.00000,0.00000,0.15728,0.00000,3392471
VILJE,2010,10,0.15824,0.00735,0.00000,0.00000,0.16559,0.00009,3392471
VILJE,2010,11,0.11253,0.00515,0.00000,0.00000,0.11768,0.00000,3392471
VILJE,2010,12,0.14748,0.00652,0.00000,0.00000,0.15400,0.00005,3392471
VILJE,2011,1,0.13484,0.00602,0.00000,0.00000,0.14086,0.00001,3392471
VILJE,2011,2,0.13310,0.00613,0.00000,0.00000,0.13923,0.00000,3392471
VILJE,2011,3,0.14684,0.00682,0.00000,0.00000,0.15366,0.00005,3392471
VILJE,2011,4,0.15271,0.00686,0.00000,0.00000,0.15957,0.00010,3392471
VILJE,2011,5,0.08991,0.00403,0.00000,0.00000,0.09394,0.00076,3392471
VILJE,2011,6,0.15915,0.00744,0.00000,0.00000,0.16658,0.00133,3392471
VILJE,2011,7,0.17158,0.00779,0.00000,0.00000,0.17937,0.00250,3392471
VILJE,2011,8,0.14615,0.00644,0.00000,0.00000,0.15259,0.00217,3392471
VILJE,2011,9,0.17150,0.00784,0.00000,0.00000,0.17934,0.00451,3392471
VILJE,2011,10,0.15922,0.00709,0.00000,0.00000,0.16630,0.00554,3392471
VILJE,2011,11,0.14646,0.00650,0.00000,0.00000,0.15295,0.00602,3392471
VILJE,2011,12,0.16534,0.00737,0.00000,0.00000,0.17271,0.00935,3392471
VILJE,2012,1,0.17287,0.00755,0.00000,0.00000,0.18042,0.01179,3392471
VILJE,2012,2,0.14044,0.00635,0.00000,0.00000,0.14680,0.01098,3392471
VILJE,2012,3,0.15588,0.00712,0.00000,0.00000,0.16301,0.01419,3392471
VILJE,2012,4,0.14737,0.00679,0.00000,0.00000,0.15416,0.01594,3392471
VILJE,2012,5,0.15173,0.00690,0.00000,0.00000,0.15863,0.01711,3392471
VILJE,2012,6,0.13859,0.00599,0.00000,0.00000,0.14458,0.01585,3392471
VILJE,2012,7,0.15551,0.00701,0.00000,0.00000,0.16252,0.02266,3392471
VILJE,2012,8,0.15567,0.00707,0.00000,0.00000,0.16274,0.02346,3392471
VILJE,2012,9,0.14344,0.00638,0.00000,0.00000,0.14981,0.02537,3392471
VILJE,2012,10,0.14337,0.00584,0.00000,0.00000,0.14920,0.02782,3392471
VILJE,2012,11,0.13436,0.00603,0.00000,0.00000,0.14039,0.02812,3392471
VILJE,2012,12,0.13163,0.00563,0.00000,0.00000,0.13726,0.02837,3392471
VILJE,2013,1,0.12586,0.00532,0.00000,0.00000,0.13118,0.02963,3392471
VILJE,2013,2,0.11433,0.00475,0.00000,0.00000,0.11909,0.02070,3392471
VILJE,2013,3,0.12372,0.00525,0.00000,0.00000,0.12896,0.02587,3392471
VILJE,2013,4,0.12020,0.00511,0.00000,0.00000,0.12531,0.02755,3392471
VILJE,2013,5,0.11846,0.00495,0.00000,0.00000,0.12340,0.03099,3392471
VILJE,2013,6,0.11388,0.00494,0.00000,0.00000,0.11882,0.02023,3392471
VILJE,2013,7,0.11275,0.00491,0.00000,0.00000,0.11767,0.05423,3392471
VILJE,2013,8,0.08257,0.00341,0.00000,0.00000,0.08597,0.03652,3392471
VILJE,2013,9,0.08648,0.00364,0.00000,0.00000,0.09012,0.03946,3392471
VILJE,2013,10,0.11219,0.00455,0.00000,0.00000,0.11674,0.05442,3392471
VILJE,2013,11,0.10682,0.00444,0.00000,0.00000,0.11125,0.05510,3392471
VILJE,2013,12,0.10238,0.00424,0.00000,0.00000,0.10661,0.05452,3392471
VILJE,2014,1,0.09238,0.00363,0.00000,0.00000,0.09600,0.05674,3392471
VILJE,2014,2,0.08921,0.00337,0.00000,0.00000,0.09258,0.05735,3392471
VILJE,2014,3,0.09583,0.00384,0.00000,0.00000,0.09967,0.06477,3392471
