,prfInformationCarrier,prfYear,prfMonth,prfPrdOilNetMillSm3,prfPrdGasNetBillSm3,prfPrdNGLNetMillSm3,prfPrdCondensateNetMillSm3,prfPrdOeNetMillSm3,prfPrdProducedWaterInFieldMillSm3,prfNpdidInformationCarrier
16730,VISUND SØR,2012,11,0.01314,0.00265,0.00122,0.0,0.01701,0.00021,20461008
16731,VISUND SØR,2012,12,0.03628,0.0149,0.0038399999999999997,0.0,0.055020000000000006,0.00027,20461008
16732,VISUND SØR,2013,1,0.03092,0.01983,0.00545,0.0,0.05619,0.00027,20461008
16733,VISUND SØR,2013,2,0.03166,0.0268,0.00603,0.0,0.06448,0.00041,20461008
16734,VISUND SØR,2013,3,0.035289999999999995,0.03341,0.00822,0.0,0.07692,0.00082,20461008
16735,VISUND SØR,2013,4,0.03442,0.034460000000000005,0.00801,0.0,0.07689,0.00118,20461008
16736,VISUND SØR,2013,5,0.02853,0.03055,0.0072,0.0,0.06627999999999999,0.0015,20461008
16737,VISUND SØR,2013,6,0.03247,0.03551,0.00842,0.0,0.07639,0.0018,20461008
16738,VISUND SØR,2013,7,0.0325,0.03764,0.00951,0.0,0.07966000000000001,0.00236,20461008
16739,VISUND SØR,2013,8,0.031389999999999994,0.04141,0.01051,0.0,0.08331000000000001,0.00292,20461008
16740,VISUND SØR,2013,9,0.03743,0.05558,0.0126,0.0,0.1056,0.00402,20461008
16741,VISUND SØR,2013,10,0.04238,0.06326,0.01706,0.0,0.1227,0.00473,20461008
16742,VISUND SØR,2013,11,0.04204,0.05995,0.01567,0.0,0.11765999999999999,0.00358,20461008
16743,VISUND SØR,2013,12,0.04268,0.06062000000000001,0.01601,0.0,0.1193,0.00496,20461008
16744,VISUND SØR,2014,1,0.036239999999999994,0.0526,0.01354,0.0,0.10238,0.0061,20461008
16745,VISUND SØR,2014,2,0.03803,0.05515,0.0143,0.0,0.10747999999999999,0.00642,20461008
16746,VISUND SØR,2014,3,0.04095,0.06147999999999999,0.015880000000000002,0.0,0.1183,0.007240000000000001,20461008
16747,VISUND SØR,2014,4,0.04202,0.06294,0.01569,0.0,0.12065,0.00817,20461008
16748,VISUND SØR,2014,5,0.04314,0.06394,0.01511,0.0,0.12219000000000001,0.00857,20461008
16749,VISUND SØR,2014,6,0.04203,0.06121,0.01571,0.0,0.11895,0.008579999999999999,20461008
16750,VISUND SØR,2014,7,0.03685,0.054229999999999993,0.01441,0.0,0.10549000000000001,0.00783,20461008
16751,VISUND SØR,2014,8,0.04242,0.061689999999999995,0.01565,0.0,0.11975,0.00898,20461008
16752,VISUND SØR,2014,9,0.04186,0.053529999999999994,0.014190000000000001,0.0,0.10958,0.00842,20461008
16753,VISUND SØR,2014,10,0.06772,0.05272,0.014519999999999998,0.0,0.13495,0.014209999999999999,20461008
16754,VISUND SØR,2014,11,0.06056,0.03871,0.01099,0.0,0.11026,0.02138,20461008
16755,VISUND SØR,2014,12,0.06688999999999999,0.06627999999999999,0.01902,0.0,0.15219000000000002,0.016819999999999998,20461008
16756,VISUND SØR,2015,1,0.06433,0.06978999999999999,0.019,0.0,0.15313,0.0141,20461008
16757,VISUND SØR,2015,2,0.05611,0.06252,0.01649,0.0,0.13513,0.01583,20461008
16758,VISUND SØR,2015,3,0.06694,0.07351,0.02076,0.0,0.16122,0.02159,20461008
16759,VISUND SØR,2015,4,0.06216,0.07268,0.01934,0.0,0.15417999999999998,0.029210000000000003,20461008
16760,VISUND SØR,2015,5,0.0614,0.08176,0.022269999999999998,0.0,0.16542,0.02309,20461008
16761,VISUND SØR,2015,6,0.05819,0.07952999999999999,0.02171,0.0,0.15944,0.02315,20461008
16762,VISUND SØR,2015,7,0.05797000000000001,0.07987999999999999,0.021840000000000002,0.0,0.15969,0.02369,20461008
16763,VISUND SØR,2015,8,0.03228,0.04351,0.01116,0.0,0.08695,0.0143,20461008
16764,VISUND SØR,2015,9,0.03188,0.03544,0.00926,0.0,0.07658999999999999,0.02882,20461008
16765,VISUND SØR,2015,10,0.05641,0.06978999999999999,0.01726,0.0,0.14345,0.045219999999999996,20461008
16766,VISUND SØR,2015,11,0.04385,0.05135,0.01316,0.0,0.10835999999999998,0.06722,20461008
16767,VISUND SØR,2015,12,0.046939999999999996,0.05317,0.014419999999999999,0.0,0.11454,0.06763,20461008
16768,VISUND SØR,2016,1,0.0334,0.04743,0.01305,0.0,0.09387999999999999,0.06776,20461008
16769,VISUND SØR,2016,2,0.03035,0.04918,0.01257,0.0,0.0921,0.06157000000000001,20461008
16770,VISUND SØR,2016,3,0.032639999999999995,0.06862,0.01651,0.0,0.11777,0.05682,20461008
16771,VISUND SØR,2016,4,0.0342,0.08195,0.01842,0.0,0.13457,0.05027,20461008
16772,VISUND SØR,2016,5,0.03457,0.06824,0.01605,0.0,0.11886,0.051820000000000005,20461008
16773,VISUND SØR,2016,6,0.0317,0.05321,0.013359999999999999,0.0,0.09827000000000001,0.06039,20461008
16774,VISUND SØR,2016,7,0.02903,0.04973,0.01268,0.0,0.09143,0.06786,20461008
16775,VISUND SØR,2016,8,0.028669999999999998,0.04892,0.01287,0.0,0.09045,0.06969,20461008
16776,VISUND SØR,2016,9,0.02435,0.04297,0.01168,0.0,0.079,0.05416,20461008
