prfInformationCarrier,prfYear,prfMonth,prfPrdOilNetMillSm3,prfPrdGasNetBillSm3,prfPrdNGLNetMillSm3,prfPrdCondensateNetMillSm3,prfPrdOeNetMillSm3,prfPrdProducedWaterInFieldMillSm3,prfNpdidInformationCarrier
VISUND,1999,4,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,43745
VISUND,1999,5,0.08618,0.00000,0.00000,0.00000,0.08618,0.00000,43745
VISUND,1999,6,0.03518,0.00000,0.00000,0.00000,0.03518,0.00000,43745
VISUND,1999,7,0.05120,0.00000,0.00000,0.00000,0.05120,0.00000,43745
VISUND,1999,8,0.09614,0.00000,0.00000,0.00000,0.09614,0.00000,43745
VISUND,1999,9,0.03661,0.00000,0.00000,0.00000,0.03661,0.00000,43745
VISUND,1999,10,0.07524,0.00000,0.00000,0.00000,0.07524,0.00000,43745
VISUND,1999,11,0.10686,0.00000,0.00000,0.00000,0.10686,0.00000,43745
VISUND,1999,12,0.14076,0.00000,0.00000,0.00000,0.14076,0.00000,43745
VISUND,2000,1,0.16263,0.00000,0.00000,0.00000,0.16263,0.10749,43745
VISUND,2000,2,0.15253,0.00000,0.00000,0.00000,0.15253,0.11451,43745
VISUND,2000,3,0.25492,0.00000,0.00000,0.00000,0.25492,0.11874,43745
VISUND,2000,4,0.19585,0.00000,0.00000,0.00000,0.19585,0.04418,43745
VISUND,2000,5,0.21578,0.00000,0.00000,0.00000,0.21578,0.02926,43745
VISUND,2000,6,0.19116,0.00000,0.00000,0.00000,0.19116,0.00904,43745
VISUND,2000,7,0.17899,0.00000,0.00000,0.00000,0.17899,0.00694,43745
VISUND,2000,8,0.08817,0.00000,0.00000,0.00000,0.08817,0.00499,43745
VISUND,2000,9,0.24907,0.00000,0.00000,0.00000,0.24907,0.00956,43745
VISUND,2000,10,0.22075,0.00000,0.00000,0.00000,0.22075,0.03849,43745
VISUND,2000,11,0.17611,0.00000,0.00000,0.00000,0.17611,0.04024,43745
VISUND,2000,12,0.16702,0.00000,0.00000,0.00000,0.16702,0.05793,43745
VISUND,2001,1,0.18989,0.00000,0.00000,0.00000,0.18989,0.08418,43745
VISUND,2001,2,0.20058,0.00000,0.00000,0.00000,0.20058,0.09088,43745
VISUND,2001,3,0.19806,0.00000,0.00000,0.00000,0.19806,0.13495,43745
VISUND,2001,4,0.17601,0.00000,0.00000,0.00000,0.17601,0.14624,43745
VISUND,2001,5,0.19160,0.00000,0.00000,0.00000,0.19160,0.18113,43745
VISUND,2001,6,0.19590,0.00000,0.00000,0.00000,0.19590,0.15877,43745
VISUND,2001,7,0.33290,0.00000,0.00000,0.00000,0.33290,0.07707,43745
VISUND,2001,8,0.25824,0.00000,0.00000,0.00000,0.25824,0.05830,43745
VISUND,2001,9,0.21806,0.00000,0.00000,0.00000,0.21806,0.05793,43745
VISUND,2001,10,0.20019,0.00000,0.00000,0.00000,0.20019,0.06017,43745
VISUND,2001,11,0.12925,0.00000,0.00000,0.00000,0.12925,0.03795,43745
VISUND,2001,12,0.24566,0.00000,0.00000,0.00000,0.24566,0.03376,43745
VISUND,2002,1,0.20619,0.00000,0.00000,0.00000,0.20619,0.01270,43745
VISUND,2002,2,0.20047,0.00000,0.00000,0.00000,0.20047,0.00716,43745
VISUND,2002,3,0.14321,0.00000,0.00000,0.00000,0.14321,0.00194,43745
VISUND,2002,4,0.19036,0.00000,0.00000,0.00000,0.19036,0.03917,43745
VISUND,2002,5,0.26011,0.00000,0.00000,0.00000,0.26011,0.04814,43745
VISUND,2002,6,0.18574,0.00000,0.00000,0.00000,0.18574,0.05188,43745
VISUND,2002,7,0.21492,0.00000,0.00000,0.00000,0.21492,0.06963,43745
VISUND,2002,8,0.27388,0.00000,0.00000,0.00000,0.27388,0.07888,43745
VISUND,2002,9,0.10584,0.00000,0.00000,0.00000,0.10584,0.01370,43745
VISUND,2002,10,0.26000,0.00000,0.00000,0.00000,0.26000,0.10934,43745
VISUND,2002,11,0.21090,0.00000,0.00000,0.00000,0.21090,0.08610,43745
VISUND,2002,12,0.20738,0.00000,0.00000,0.00000,0.20738,0.14906,43745
VISUND,2003,1,0.12244,0.00000,0.00000,0.00000,0.12244,0.09000,43745
VISUND,2003,2,0.16424,0.00000,0.00000,0.00000,0.16424,0.05723,43745
VISUND,2003,3,0.18598,0.00000,0.00000,0.00000,0.18598,0.06061,43745
VISUND,2003,4,0.10701,0.00000,0.00000,0.00000,0.10701,0.04012,43745
VISUND,2003,5,0.09348,0.00000,0.00000,0.00000,0.09348,0.01345,43745
VISUND,2003,6,0.21273,0.00000,0.00000,0.00000,0.21273,0.08975,43745
VISUND,2003,7,0.21112,0.00000,0.00000,0.00000,0.21112,0.09298,43745
VISUND,2003,8,0.23915,0.00000,0.00000,0.00000,0.23915,0.09688,43745
VISUND,2003,9,0.17386,0.00000,0.00000,0.00000,0.17386,0.07257,43745
VISUND,2003,10,0.19004,0.00000,0.00000,0.00000,0.19004,0.10329,43745
VISUND,2003,11,0.17258,0.00000,0.00000,0.00000,0.17258,0.14762,43745
VISUND,2003,12,0.14831,0.00000,0.00000,0.00000,0.14831,0.14014,43745
VISUND,2004,1,0.16323,0.00000,0.00000,0.00000,0.16323,0.18236,43745
VISUND,2004,2,0.17302,0.00000,0.00000,0.00000,0.17302,0.15652,43745
VISUND,2004,3,0.19380,0.00000,0.00000,0.00000,0.19380,0.17544,43745
VISUND,2004,4,0.16581,0.00000,0.00000,0.00000,0.16581,0.16670,43745
VISUND,2004,5,0.18098,0.00000,0.00000,0.00000,0.18098,0.13279,43745
VISUND,2004,6,0.13077,0.00000,0.00000,0.00000,0.13077,0.10061,43745
VISUND,2004,7,0.18244,0.00000,0.00000,0.00000,0.18244,0.16308,43745
VISUND,2004,8,0.17724,0.00000,0.00000,0.00000,0.17724,0.10509,43745
VISUND,2004,9,0.10079,0.00000,0.00000,0.00000,0.10079,0.05738,43745
VISUND,2004,10,0.05558,0.00000,0.00000,0.00000,0.05558,0.02129,43745
VISUND,2004,11,0.17145,0.00000,0.00000,0.00000,0.17145,0.11503,43745
VISUND,2004,12,0.16777,0.00000,0.00000,0.00000,0.16777,0.11072,43745
VISUND,2005,1,0.16513,0.00000,0.00000,0.00000,0.16513,0.04804,43745
VISUND,2005,2,0.13223,0.00000,0.00000,0.00000,0.13223,0.03299,43745
VISUND,2005,3,0.15680,0.00000,0.00000,0.00000,0.15680,0.03443,43745
VISUND,2005,4,0.00157,0.00000,0.00000,0.00000,0.00157,0.00000,43745
VISUND,2005,5,0.15996,0.00000,0.00000,0.00000,0.15996,0.03835,43745
VISUND,2005,6,0.15266,0.00000,0.00000,0.00000,0.15266,0.03577,43745
VISUND,2005,7,0.02366,0.00000,0.00000,0.00000,0.02366,0.00624,43745
VISUND,2005,8,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,43745
VISUND,2005,9,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,43745
VISUND,2005,10,0.10402,0.10884,0.01406,0.00000,0.22692,0.01570,43745
VISUND,2005,11,0.10060,0.12160,0.01493,0.00000,0.23712,0.03331,43745
VISUND,2005,12,0.11956,0.11505,0.01383,0.00000,0.24844,0.05173,43745
VISUND,2006,1,0.08196,0.06002,0.00651,0.00000,0.14849,0.05027,43745
VISUND,2006,2,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,43745
VISUND,2006,3,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,43745
VISUND,2006,4,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,43745
VISUND,2006,5,0.01175,0.00682,0.00085,0.00000,0.01941,0.00732,43745
VISUND,2006,6,0.13606,0.12649,0.01733,0.00000,0.27988,0.06328,43745
VISUND,2006,7,0.13333,0.14239,0.01898,0.00000,0.29470,0.05720,43745
VISUND,2006,8,0.15713,0.11313,0.01336,0.00000,0.28362,0.06198,43745
VISUND,2006,9,0.12084,0.13551,0.01619,0.00000,0.27255,0.04311,43745
VISUND,2006,10,0.18394,0.17163,0.02114,0.00000,0.37671,0.09760,43745
VISUND,2006,11,0.16785,0.12660,0.01422,0.00000,0.30867,0.08582,43745
VISUND,2006,12,0.21717,0.15639,0.01796,0.00000,0.39152,0.13042,43745
VISUND,2007,1,0.24012,0.15789,0.01669,0.00000,0.41470,0.08667,43745
VISUND,2007,2,0.20871,0.14744,0.01579,0.00000,0.37194,0.08449,43745
VISUND,2007,3,0.21063,0.13218,0.01321,0.00000,0.35602,0.08629,43745
VISUND,2007,4,0.21624,0.13624,0.01419,0.00000,0.36667,0.09183,43745
VISUND,2007,5,0.18783,0.14158,0.01126,0.00000,0.34067,0.08437,43745
VISUND,2007,6,0.18169,0.17476,0.01679,0.00000,0.37323,0.06929,43745
VISUND,2007,7,0.21705,0.13163,0.00959,0.00000,0.35828,0.08605,43745
VISUND,2007,8,0.13892,0.10567,0.00688,0.00000,0.25147,0.04197,43745
VISUND,2007,9,0.13186,0.12843,0.00914,0.00000,0.26944,0.04152,43745
VISUND,2007,10,0.21194,0.18262,0.01577,0.00000,0.41033,0.07455,43745
VISUND,2007,11,0.17732,0.06895,0.00380,0.00000,0.25007,0.04979,43745
VISUND,2007,12,0.12852,0.00000,0.00000,0.00000,0.12852,0.02507,43745
VISUND,2008,1,0.16499,0.08239,0.00615,0.00000,0.25353,0.02966,43745
VISUND,2008,2,0.12681,0.12455,0.01228,0.00000,0.26363,0.01626,43745
VISUND,2008,3,0.18329,0.12461,0.01332,0.00000,0.32122,0.02596,43745
VISUND,2008,4,0.18569,0.12747,0.01437,0.00000,0.32753,0.04607,43745
VISUND,2008,5,0.18155,0.12542,0.01717,0.00000,0.32414,0.03172,43745
VISUND,2008,6,0.04521,0.04097,0.00474,0.00000,0.09092,0.00988,43745
VISUND,2008,7,0.14620,0.13109,0.01711,0.00000,0.29440,0.03821,43745
VISUND,2008,8,0.14448,0.03640,0.00354,0.00000,0.18442,0.03218,43745
VISUND,2008,9,0.12291,0.00000,0.00000,0.00000,0.12291,0.03435,43745
VISUND,2008,10,0.13832,0.00000,0.00000,0.00000,0.13832,0.04084,43745
VISUND,2008,11,0.15460,0.00000,0.00000,0.00000,0.15460,0.03857,43745
VISUND,2008,12,0.13028,0.00000,0.00000,0.00000,0.13028,0.03053,43745
VISUND,2009,1,0.17225,0.02898,0.00136,0.00000,0.20260,0.03394,43745
VISUND,2009,2,0.13894,0.10487,0.00845,0.00000,0.25225,0.02319,43745
VISUND,2009,3,0.16260,0.14249,0.01485,0.00000,0.31994,0.03386,43745
VISUND,2009,4,0.12683,0.09742,0.01119,0.00000,0.23544,0.03214,43745
