prfInformationCarrier,prfYear,prfMonth,prfPrdOilNetMillSm3,prfPrdGasNetBillSm3,prfPrdNGLNetMillSm3,prfPrdCondensateNetMillSm3,prfPrdOeNetMillSm3,prfPrdProducedWaterInFieldMillSm3,prfNpdidInformationCarrier
VOLUND,2009,9,0.00884,0.00086,0.00000,0.00000,0.00969,0.00002,4380167
VOLUND,2009,10,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,4380167
VOLUND,2009,11,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,4380167
VOLUND,2009,12,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,4380167
VOLUND,2010,1,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,4380167
VOLUND,2010,2,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,4380167
VOLUND,2010,3,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,4380167
VOLUND,2010,4,0.02908,0.00297,0.00000,0.00000,0.03205,0.00036,4380167
VOLUND,2010,5,0.06411,0.00692,0.00000,0.00000,0.07103,0.00002,4380167
VOLUND,2010,6,0.06633,0.00720,0.00000,0.00000,0.07353,0.00001,4380167
VOLUND,2010,7,0.07194,0.00753,0.00000,0.00000,0.07946,0.00000,4380167
VOLUND,2010,8,0.08207,0.00854,0.00000,0.00000,0.09061,0.00001,4380167
VOLUND,2010,9,0.11646,0.01182,0.00000,0.00000,0.12827,0.00000,4380167
VOLUND,2010,10,0.12592,0.01258,0.00000,0.00000,0.13850,0.00044,4380167
VOLUND,2010,11,0.10756,0.01086,0.00000,0.00000,0.11842,0.00001,4380167
VOLUND,2010,12,0.13776,0.01303,0.00000,0.00000,0.15078,0.00024,4380167
VOLUND,2011,1,0.12506,0.01161,0.00000,0.00000,0.13667,0.00048,4380167
VOLUND,2011,2,0.12654,0.01223,0.00000,0.00000,0.13877,0.00005,4380167
VOLUND,2011,3,0.15458,0.01475,0.00000,0.00000,0.16933,0.00033,4380167
VOLUND,2011,4,0.16251,0.01543,0.00000,0.00000,0.17794,0.00007,4380167
VOLUND,2011,5,0.09372,0.00907,0.00000,0.00000,0.10279,0.00081,4380167
VOLUND,2011,6,0.16699,0.01643,0.00000,0.00000,0.18342,0.00155,4380167
VOLUND,2011,7,0.17921,0.01697,0.00000,0.00000,0.19617,0.00152,4380167
VOLUND,2011,8,0.17033,0.01565,0.00000,0.00000,0.18597,0.00113,4380167
VOLUND,2011,9,0.17552,0.01638,0.00000,0.00000,0.19190,0.00137,4380167
VOLUND,2011,10,0.16142,0.01488,0.00000,0.00000,0.17630,0.00115,4380167
VOLUND,2011,11,0.15565,0.01467,0.00000,0.00000,0.17032,0.00118,4380167
VOLUND,2011,12,0.16368,0.01595,0.00000,0.00000,0.17962,0.00182,4380167
VOLUND,2012,1,0.17678,0.01679,0.00000,0.00000,0.19357,0.00150,4380167
VOLUND,2012,2,0.14339,0.01380,0.00000,0.00000,0.15719,0.00119,4380167
VOLUND,2012,3,0.17876,0.01702,0.00000,0.00000,0.19578,0.00245,4380167
VOLUND,2012,4,0.17515,0.01643,0.00000,0.00000,0.19158,0.00324,4380167
VOLUND,2012,5,0.17425,0.01642,0.00000,0.00000,0.19068,0.00316,4380167
VOLUND,2012,6,0.15226,0.01416,0.00000,0.00000,0.16641,0.00275,4380167
VOLUND,2012,7,0.17140,0.01625,0.00000,0.00000,0.18765,0.00468,4380167
VOLUND,2012,8,0.17481,0.01653,0.00000,0.00000,0.19134,0.00554,4380167
VOLUND,2012,9,0.16754,0.01531,0.00000,0.00000,0.18285,0.00655,4380167
VOLUND,2012,10,0.16063,0.01414,0.00000,0.00000,0.17477,0.00853,4380167
VOLUND,2012,11,0.15646,0.01460,0.00000,0.00000,0.17106,0.01211,4380167
VOLUND,2012,12,0.16459,0.01449,0.00000,0.00000,0.17908,0.01248,4380167
VOLUND,2013,1,0.15778,0.01402,0.00000,0.00000,0.17180,0.01088,4380167
VOLUND,2013,2,0.15790,0.01404,0.00000,0.00000,0.17194,0.00736,4380167
VOLUND,2013,3,0.17758,0.01612,0.00000,0.00000,0.19370,0.00930,4380167
VOLUND,2013,4,0.16918,0.01547,0.00000,0.00000,0.18464,0.00974,4380167
VOLUND,2013,5,0.17298,0.01555,0.00000,0.00000,0.18852,0.01074,4380167
VOLUND,2013,6,0.16971,0.01582,0.00000,0.00000,0.18553,0.00709,4380167
VOLUND,2013,7,0.16719,0.01589,0.00000,0.00000,0.18307,0.02126,4380167
VOLUND,2013,8,0.11833,0.01057,0.00000,0.00000,0.12889,0.02145,4380167
VOLUND,2013,9,0.15078,0.01367,0.00000,0.00000,0.16445,0.03433,4380167
VOLUND,2013,10,0.15078,0.01391,0.00000,0.00000,0.16469,0.04329,4380167
VOLUND,2013,11,0.13643,0.01301,0.00000,0.00000,0.14944,0.05364,4380167
VOLUND,2013,12,0.13800,0.01280,0.00000,0.00000,0.15080,0.06311,4380167
VOLUND,2014,1,0.12005,0.01161,0.00000,0.00000,0.13166,0.06391,4380167
VOLUND,2014,2,0.10979,0.01092,0.00000,0.00000,0.12071,0.06849,4380167
VOLUND,2014,3,0.12090,0.01223,0.00000,0.00000,0.13314,0.08299,4380167
VOLUND,2014,4,0.10156,0.01116,0.00000,0.00000,0.11272,0.08647,4380167
VOLUND,2014,5,0.10421,0.01178,0.00000,0.00000,0.11599,0.08976,4380167
VOLUND,2014,6,0.09346,0.01052,0.00000,0.00000,0.10399,0.09544,4380167
VOLUND,2014,7,0.09232,0.01109,0.00000,0.00000,0.10341,0.09975,4380167
VOLUND,2014,8,0.08125,0.01021,0.00000,0.00000,0.09146,0.10082,4380167
VOLUND,2014,9,0.04522,0.00528,0.00000,0.00000,0.05049,0.06043,4380167
VOLUND,2014,10,0.07650,0.00953,0.00000,0.00000,0.08604,0.10756,4380167
VOLUND,2014,11,0.07492,0.00923,0.00000,0.00000,0.08415,0.10398,4380167
VOLUND,2014,12,0.07306,0.00870,0.00000,0.00000,0.08176,0.10398,4380167
VOLUND,2015,1,0.07008,0.00820,0.00000,0.00000,0.07828,0.10909,4380167
VOLUND,2015,2,0.07121,0.00857,0.00000,0.00000,0.07978,0.10107,4380167
VOLUND,2015,3,0.07553,0.00904,0.00000,0.00000,0.08457,0.11550,4380167
VOLUND,2015,4,0.06223,0.00755,0.00000,0.00000,0.06979,0.09334,4380167
VOLUND,2015,5,0.05522,0.00563,0.00000,0.00000,0.06086,0.09173,4380167
VOLUND,2015,6,0.06381,0.00736,0.00000,0.00000,0.07117,0.10308,4380167
VOLUND,2015,7,0.05820,0.00714,0.00000,0.00000,0.06534,0.11865,4380167
