prfInformationCarrier,prfYear,prfMonth,prfPrdOilNetMillSm3,prfPrdGasNetBillSm3,prfPrdNGLNetMillSm3,prfPrdCondensateNetMillSm3,prfPrdOeNetMillSm3,prfPrdProducedWaterInFieldMillSm3,prfNpdidInformationCarrier
VOLVE,2008,2,0.04909,0.00000,0.00000,0.00000,0.04909,0.00005,3420717
VOLVE,2008,3,0.08441,0.00230,0.00086,0.00030,0.08787,0.00000,3420717
VOLVE,2008,4,0.07576,0.00758,0.00292,0.00115,0.08741,0.00000,3420717
VOLVE,2008,5,0.12689,0.01393,0.00539,0.00202,0.14822,0.00000,3420717
VOLVE,2008,6,0.14428,0.00032,0.00532,0.00200,0.15193,0.00000,3420717
VOLVE,2008,7,0.16517,0.01738,0.00616,0.00235,0.19106,0.00000,3420717
VOLVE,2008,8,0.16705,0.01408,0.00586,0.00239,0.18938,0.00058,3420717
VOLVE,2008,9,0.19414,0.01771,0.00678,0.00282,0.22145,0.00046,3420717
VOLVE,2008,10,0.23664,0.02268,0.00999,0.00387,0.27318,0.00073,3420717
VOLVE,2008,11,0.25033,0.02585,0.01073,0.00424,0.29115,0.00258,3420717
VOLVE,2008,12,0.27664,0.03295,0.01316,0.00507,0.32782,0.00107,3420717
VOLVE,2009,1,0.26920,0.03146,0.01253,0.00417,0.31737,0.00137,3420717
VOLVE,2009,2,0.23646,0.02643,0.01080,0.00361,0.27730,0.00253,3420717
VOLVE,2009,3,0.18951,0.02122,0.00909,0.00279,0.22261,0.00499,3420717
VOLVE,2009,4,0.23751,0.02759,0.01073,0.00319,0.27902,0.00149,3420717
VOLVE,2009,5,0.25721,0.02774,0.01085,0.00320,0.29900,0.00655,3420717
VOLVE,2009,6,0.22657,0.02338,0.00992,0.00308,0.26295,0.01380,3420717
VOLVE,2009,7,0.18577,0.01726,0.00664,0.00196,0.21162,0.02362,3420717
VOLVE,2009,8,0.22455,0.02378,0.00906,0.00268,0.26007,0.02582,3420717
VOLVE,2009,9,0.17976,0.01858,0.00718,0.00217,0.20770,0.01751,3420717
VOLVE,2009,10,0.22452,0.02522,0.00956,0.00285,0.26214,0.03291,3420717
VOLVE,2009,11,0.23426,0.02644,0.00935,0.00275,0.27280,0.05268,3420717
VOLVE,2009,12,0.25208,0.02743,0.00982,0.00301,0.29234,0.09018,3420717
VOLVE,2010,1,0.23216,0.02378,0.00821,0.00251,0.26666,0.10024,3420717
VOLVE,2010,2,0.16583,0.01660,0.00598,0.00179,0.19021,0.10522,3420717
VOLVE,2010,3,0.16853,0.00220,0.00086,0.00029,0.17188,0.11858,3420717
VOLVE,2010,4,0.16032,0.01886,0.00695,0.00206,0.18818,0.13786,3420717
VOLVE,2010,5,0.16554,0.01889,0.00663,0.00202,0.19307,0.16091,3420717
VOLVE,2010,6,0.14507,0.01527,0.00549,0.00176,0.16759,0.17985,3420717
VOLVE,2010,7,0.13548,0.01404,0.00515,0.00147,0.15613,0.19627,3420717
VOLVE,2010,8,0.06892,0.00613,0.00219,0.00067,0.07791,0.11124,3420717
VOLVE,2010,9,0.10715,0.00765,0.00282,0.00086,0.11847,0.15594,3420717
VOLVE,2010,10,0.13161,0.01290,0.00460,0.00137,0.15048,0.20049,3420717
VOLVE,2010,11,0.10766,0.00985,0.00355,0.00106,0.12212,0.19921,3420717
VOLVE,2010,12,0.11030,0.01056,0.00380,0.00114,0.12579,0.22298,3420717
VOLVE,2011,1,0.10710,0.00966,0.00346,0.00100,0.12123,0.22805,3420717
