,prfInformationCarrier,prfYear,prfMonth,prfPrdOilNetMillSm3,prfPrdGasNetBillSm3,prfPrdNGLNetMillSm3,prfPrdCondensateNetMillSm3,prfPrdOeNetMillSm3,prfPrdProducedWaterInFieldMillSm3,prfNpdidInformationCarrier
16966,YME,1996,2,0.0,0.0,0.0,0.0,0.0,0.0,43807
16967,YME,1996,3,0.0,0.0,0.0,0.0,0.0,0.0,43807
16968,YME,1996,4,0.0,0.0,0.0,0.0,0.0,0.0,43807
16969,YME,1996,5,0.09729,0.0,0.0,0.0,0.09729,0.0,43807
16970,YME,1996,6,0.11798,0.0,0.0,0.0,0.11798,0.0,43807
16971,YME,1996,7,0.1085,0.0,0.0,0.0,0.1085,0.0,43807
16972,YME,1996,8,0.25953000000000004,0.0,0.0,0.0,0.25953000000000004,0.0,43807
16973,YME,1996,9,0.13407,0.0,0.0,0.0,0.13407,0.0,43807
16974,YME,1996,10,0.11584000000000001,0.0,0.0,0.0,0.11584000000000001,0.0,43807
16975,YME,1996,11,0.13177,0.0,0.0,0.0,0.13177,0.0,43807
16976,YME,1996,12,0.2298,0.0,0.0,0.0,0.2298,0.0,43807
16977,YME,1997,1,0.13421,0.0,0.0,0.0,0.13421,0.0,43807
16978,YME,1997,2,0.12907000000000002,0.0,0.0,0.0,0.12907000000000002,0.0,43807
16979,YME,1997,3,0.2103,0.0,0.0,0.0,0.2103,0.0,43807
16980,YME,1997,4,0.13208,0.0,0.0,0.0,0.13208,0.0,43807
16981,YME,1997,5,0.22834000000000002,0.0,0.0,0.0,0.22834000000000002,0.0,43807
16982,YME,1997,6,0.11775999999999999,0.0,0.0,0.0,0.11775999999999999,0.0,43807
16983,YME,1997,7,0.13316,0.0,0.0,0.0,0.13316,0.0,43807
16984,YME,1997,8,0.26241,0.0,0.0,0.0,0.26241,0.0,43807
16985,YME,1997,9,0.11508,0.0,0.0,0.0,0.11508,0.0,43807
16986,YME,1997,10,0.13167,0.0,0.0,0.0,0.13167,0.0,43807
16987,YME,1997,11,0.13046,0.0,0.0,0.0,0.13046,0.0,43807
16988,YME,1997,12,0.25523,0.0,0.0,0.0,0.25523,0.0,43807
16989,YME,1998,1,0.11589,0.0,0.0,0.0,0.11589,0.0,43807
16990,YME,1998,2,0.21748,0.0,0.0,0.0,0.21748,0.0,43807
16991,YME,1998,3,0.12315,0.0,0.0,0.0,0.12315,0.0,43807
16992,YME,1998,4,0.13596,0.0,0.0,0.0,0.13596,0.0,43807
16993,YME,1998,5,0.27612,0.0,0.0,0.0,0.27612,0.0,43807
16994,YME,1998,6,0.11727,0.0,0.0,0.0,0.11727,0.0,43807
16995,YME,1998,7,0.12608,0.0,0.0,0.0,0.12608,0.0,43807
16996,YME,1998,8,0.25936,0.0,0.0,0.0,0.25936,0.0,43807
16997,YME,1998,9,0.10543,0.0,0.0,0.0,0.10543,0.0,43807
16998,YME,1998,10,0.13502999999999998,0.0,0.0,0.0,0.13502999999999998,0.0,43807
16999,YME,1998,11,0.13,0.0,0.0,0.0,0.13,0.0,43807
17000,YME,1998,12,0.228,0.0,0.0,0.0,0.228,0.0,43807
17001,YME,1999,1,0.12635,0.0,0.0,0.0,0.12635,0.0,43807
17002,YME,1999,2,0.0354,0.0,0.0,0.0,0.0354,0.0,43807
17003,YME,1999,3,0.32865,0.0,0.0,0.0,0.32865,0.0,43807
17004,YME,1999,4,0.11712,0.0,0.0,0.0,0.11712,0.0,43807
17005,YME,1999,5,0.0,0.0,0.0,0.0,0.0,0.0,43807
17006,YME,1999,6,0.24649000000000001,0.0,0.0,0.0,0.24649000000000001,0.0,43807
17007,YME,1999,7,0.12755,0.0,0.0,0.0,0.12755,0.0,43807
17008,YME,1999,8,0.0,0.0,0.0,0.0,0.0,0.0,43807
17009,YME,1999,9,0.12837,0.0,0.0,0.0,0.12837,0.0,43807
17010,YME,1999,10,0.11992,0.0,0.0,0.0,0.11992,0.0,43807
17011,YME,1999,11,0.12059,0.0,0.0,0.0,0.12059,0.0,43807
17012,YME,1999,12,0.13352999999999998,0.0,0.0,0.0,0.13352999999999998,0.0,43807
17013,YME,2000,1,0.13434000000000001,0.0,0.0,0.0,0.13434000000000001,0.0483,43807
17014,YME,2000,2,0.07831,0.0,0.0,0.0,0.07831,0.03646,43807
17015,YME,2000,3,0.11582,0.0,0.0,0.0,0.11582,0.05596,43807
17016,YME,2000,4,0.0,0.0,0.0,0.0,0.0,0.03974,43807
17017,YME,2000,5,0.12395,0.0,0.0,0.0,0.12395,0.04993,43807
17018,YME,2000,6,0.12465,0.0,0.0,0.0,0.12465,0.061020000000000005,43807
17019,YME,2000,7,0.19330999999999998,0.0,0.0,0.0,0.19330999999999998,0.07464,43807
17020,YME,2000,8,0.0,0.0,0.0,0.0,0.0,0.06985,43807
17021,YME,2000,9,0.18419000000000002,0.0,0.0,0.0,0.18419000000000002,0.03859,43807
17022,YME,2000,10,0.0,0.0,0.0,0.0,0.0,0.07723,43807
17023,YME,2000,11,0.0,0.0,0.0,0.0,0.0,0.07554,43807
17024,YME,2000,12,0.11671,0.0,0.0,0.0,0.11671,0.06091,43807
17025,YME,2001,1,0.0,0.0,0.0,0.0,0.0,0.0813,43807
17026,YME,2001,2,0.12778,0.0,0.0,0.0,0.12778,0.05127,43807
17027,YME,2001,3,0.0,0.0,0.0,0.0,0.0,0.07172,43807
17028,YME,2001,4,0.0,0.0,0.0,0.0,0.0,0.02197,43807
17029,YME,2001,5,0.07873,0.0,0.0,0.0,0.07873,0.0,43807
17030,YME,2001,6,0.0,0.0,0.0,0.0,0.0,0.0,43807
17031,YME,2001,7,0.0,0.0,0.0,0.0,0.0,0.0,43807
