,prfInformationCarrier,prfYear,prfMonth,prfPrdOilNetMillSm3,prfPrdGasNetBillSm3,prfPrdNGLNetMillSm3,prfPrdCondensateNetMillSm3,prfPrdOeNetMillSm3,prfPrdProducedWaterInFieldMillSm3,prfNpdidInformationCarrier
17231,ÅSGARD,1999,5,0.06067,0.0,0.0,0.0,0.06067,0.0,43765
17232,ÅSGARD,1999,6,0.20185,0.0,0.0,0.0,0.20185,0.0,43765
17233,ÅSGARD,1999,7,0.5079600000000001,0.0,0.0,0.0,0.5079600000000001,0.0,43765
17234,ÅSGARD,1999,8,0.46338,0.0,0.0,0.0,0.46338,0.0,43765
17235,ÅSGARD,1999,9,0.6432399999999999,0.0,0.0,0.0,0.6432399999999999,0.0,43765
17236,ÅSGARD,1999,10,0.70787,0.0,0.0,0.0,0.70787,0.0,43765
17237,ÅSGARD,1999,11,0.64605,0.0,0.0,0.0,0.64605,0.0,43765
17238,ÅSGARD,1999,12,0.66984,0.0,0.0,0.0,0.66984,0.0,43765
17239,ÅSGARD,2000,1,0.61728,0.0,0.0,0.0,0.61728,0.00475,43765
17240,ÅSGARD,2000,2,0.70343,0.0,0.0,0.0,0.70343,0.0039299999999999995,43765
17241,ÅSGARD,2000,3,0.62024,0.0,0.0,0.0,0.62024,0.0031100000000000004,43765
17242,ÅSGARD,2000,4,0.72575,0.0,0.0,0.0,0.72575,0.00406,43765
17243,ÅSGARD,2000,5,0.73563,0.0,0.0,0.0,0.73563,0.00647,43765
17244,ÅSGARD,2000,6,0.41986,0.0,0.0,0.0,0.41986,0.0039700000000000004,43765
17245,ÅSGARD,2000,7,0.66888,0.0,0.0,0.0,0.66888,0.007559999999999999,43765
17246,ÅSGARD,2000,8,0.66414,0.0,0.0,0.0,0.66414,0.01222,43765
17247,ÅSGARD,2000,9,0.60811,0.0,0.0,0.0,0.60811,0.01063,43765
17248,ÅSGARD,2000,10,0.6651600000000001,0.07561,0.02035,0.0161,0.77722,0.01235,43765
17249,ÅSGARD,2000,11,0.6834399999999999,0.30174,0.03467,0.0547,1.07455,0.01252,43765
17250,ÅSGARD,2000,12,0.72546,0.14568,0.031,0.026930000000000003,0.9290700000000001,0.011640000000000001,43765
17251,ÅSGARD,2001,1,0.7111,0.49727,0.13344,0.09665,1.43846,0.013269999999999999,43765
17252,ÅSGARD,2001,2,0.62547,0.37943000000000005,0.1173,0.06842000000000001,1.19062,0.01199,43765
17253,ÅSGARD,2001,3,0.69617,0.54218,0.17165,0.09921,1.50922,0.01408,43765
17254,ÅSGARD,2001,4,0.7024,0.5534899999999999,0.16169,0.0934,1.51098,0.01241,43765
17255,ÅSGARD,2001,5,0.7284,0.3296,0.11342999999999999,0.03979,1.21122,0.0124,43765
17256,ÅSGARD,2001,6,0.75103,0.60226,0.19213,0.08398,1.62939,0.013869999999999999,43765
17257,ÅSGARD,2001,7,0.8066800000000001,0.75692,0.21666999999999997,0.12909,1.90936,0.0151,43765
17258,ÅSGARD,2001,8,0.68319,0.30327,0.10231,0.0709,1.15967,0.00998,43765
17259,ÅSGARD,2001,9,0.6300899999999999,-0.02036,-0.02029,0.0,0.58944,0.00818,43765
17260,ÅSGARD,2001,10,0.64207,-0.01339,0.035289999999999995,0.0,0.66397,0.00783,43765
17261,ÅSGARD,2001,11,0.6008899999999999,-0.00922,0.0412,0.0,0.63288,0.00763,43765
17262,ÅSGARD,2001,12,0.74248,-0.02973,0.04158,0.0,0.7543300000000001,0.0097,43765
17263,ÅSGARD,2002,1,0.66899,0.26738,0.12205999999999999,0.06907,1.1275,0.00966,43765
17264,ÅSGARD,2002,2,0.62357,0.40694,0.12654,0.07621,1.23326,0.00795,43765
17265,ÅSGARD,2002,3,0.68101,0.52105,0.1604,0.14907,1.5115299999999998,0.00881,43765
17266,ÅSGARD,2002,4,0.65141,0.5334,0.14568,0.14347000000000001,1.47395,0.014159999999999999,43765
17267,ÅSGARD,2002,5,0.65177,0.67795,0.2024,0.24654,1.77866,0.014769999999999998,43765
17268,ÅSGARD,2002,6,0.6978800000000001,0.45502,0.15199000000000001,0.12347000000000001,1.42835,0.014769999999999998,43765
17269,ÅSGARD,2002,7,0.77046,0.7817,0.24001,0.26509,2.05725,0.0202,43765
17270,ÅSGARD,2002,8,0.72492,0.7189300000000001,0.2034,0.31783,1.96507,0.01815,43765
17271,ÅSGARD,2002,9,0.60644,0.20629,0.07661,0.09938,0.9887100000000001,0.01456,43765
17272,ÅSGARD,2002,10,0.70553,0.8780100000000001,0.25074,0.3717,2.2059900000000003,0.02278,43765
17273,ÅSGARD,2002,11,0.70899,0.88025,0.2618,0.33881999999999995,2.18986,0.02425,43765
17274,ÅSGARD,2002,12,0.7407600000000001,0.9204,0.28288,0.39166999999999996,2.3357099999999997,0.02752,43765
17275,ÅSGARD,2003,1,0.60788,0.48756000000000005,0.17513,0.26241,1.53298,0.02155,43765
17276,ÅSGARD,2003,2,0.55507,0.55045,0.20098,0.26835,1.57485,0.0202,43765
17277,ÅSGARD,2003,3,0.65966,1.0114100000000001,0.34967,0.46269,2.4834400000000003,0.027410000000000004,43765
17278,ÅSGARD,2003,4,0.63053,0.99254,0.32944,0.41466000000000003,2.36718,0.026510000000000002,43765
17279,ÅSGARD,2003,5,0.67083,0.86861,0.3032,0.37876,2.2214,0.02592,43765
17280,ÅSGARD,2003,6,0.60225,0.92037,0.31154,0.38492,2.21908,0.023819999999999997,43765
17281,ÅSGARD,2003,7,0.6157600000000001,1.01111,0.34193,0.43391,2.40271,0.02653,43765
17282,ÅSGARD,2003,8,0.57731,0.97645,0.29696,0.40892,2.25965,0.02502,43765
17283,ÅSGARD,2003,9,0.30526,0.45015,0.18492999999999998,0.18535,1.1256899999999999,0.01315,43765
17284,ÅSGARD,2003,10,0.5859300000000001,0.8899799999999999,0.32988,0.36201,2.1678,0.026060000000000003,43765
17285,ÅSGARD,2003,11,0.5635100000000001,0.93622,0.35546,0.38459,2.23977,0.02907,43765
17286,ÅSGARD,2003,12,0.56971,0.97839,0.34731,0.38244,2.27785,0.02938,43765
17287,ÅSGARD,2004,1,0.54679,0.8878,0.30628,0.3696,2.11046,0.029889999999999996,43765
17288,ÅSGARD,2004,2,0.49858,0.8812399999999999,0.30443000000000003,0.35343,2.03768,0.029789999999999997,43765
17289,ÅSGARD,2004,3,0.51662,0.95158,0.3294,0.39026,2.1878599999999997,0.03273,43765
17290,ÅSGARD,2004,4,0.46693999999999997,0.91415,0.30455,0.37858,2.0642099999999997,0.030619999999999998,43765
17291,ÅSGARD,2004,5,0.5220899999999999,0.8920600000000001,0.30138000000000004,0.35570999999999997,2.07124,0.0357,43765
17292,ÅSGARD,2004,6,0.47147,0.8737299999999999,0.2891,0.32955999999999996,1.96386,0.034730000000000004,43765
17293,ÅSGARD,2004,7,0.49761000000000005,0.77168,0.27066999999999997,0.3195,1.85946,0.035269999999999996,43765
17294,ÅSGARD,2004,8,0.41653,0.41793,0.13954,0.12633,1.10033,0.0259,43765
17295,ÅSGARD,2004,9,0.41015,0.67186,0.20407999999999998,0.26100999999999996,1.5471,0.031830000000000004,43765
17296,ÅSGARD,2004,10,0.43843000000000004,0.97785,0.34786999999999996,0.3253,2.08945,0.03909,43765
17297,ÅSGARD,2004,11,0.43118,0.9709399999999999,0.3428,0.32721,2.07212,0.042539999999999994,43765
17298,ÅSGARD,2004,12,0.44168999999999997,0.99256,0.34784,0.31606999999999996,2.09816,0.04061,43765
17299,ÅSGARD,2005,1,0.43298000000000003,0.91899,0.32771,0.30030999999999997,1.9799900000000001,0.03936,43765
17300,ÅSGARD,2005,2,0.38883,0.8268700000000001,0.29923,0.28007,1.795,0.03658,43765
17301,ÅSGARD,2005,3,0.41643,1.00919,0.35866,0.35012,2.1344,0.044789999999999996,43765
17302,ÅSGARD,2005,4,0.39091,0.9636600000000001,0.3412,0.34121,2.03698,0.04388,43765
17303,ÅSGARD,2005,5,0.39771,0.8935799999999999,0.26866999999999996,0.31008,1.8700400000000001,0.03733,43765
17304,ÅSGARD,2005,6,0.36080999999999996,0.79448,0.28201,0.25805,1.69534,0.0309,43765
17305,ÅSGARD,2005,7,0.38456999999999997,0.87831,0.28288,0.24159,1.7873599999999998,0.032010000000000004,43765
17306,ÅSGARD,2005,8,0.3969,0.92066,0.30512,0.22396999999999997,1.84665,0.03605,43765
17307,ÅSGARD,2005,9,0.38451,0.8688899999999999,0.28175,0.24566999999999997,1.78083,0.03463,43765
17308,ÅSGARD,2005,10,0.33555999999999997,0.50584,0.18436,0.17778,1.20354,0.028689999999999997,43765
17309,ÅSGARD,2005,11,0.37168,0.9608899999999999,0.34897,0.30812,1.98965,0.036160000000000005,43765
17310,ÅSGARD,2005,12,0.37615,0.9718600000000001,0.3583,0.31356,2.01987,0.03773,43765
17311,ÅSGARD,2006,1,0.35153,0.7350300000000001,0.28055,0.22676999999999997,1.5938700000000001,0.032619999999999996,43765
17312,ÅSGARD,2006,2,0.34388,0.8890399999999999,0.32443,0.25526,1.8126099999999998,0.0369,43765
17313,ÅSGARD,2006,3,0.39707,0.99039,0.35144000000000003,0.24185,1.98075,0.03982,43765
17314,ÅSGARD,2006,4,0.32800999999999997,0.82606,0.29732,0.26968000000000003,1.7210599999999998,0.0351,43765
17315,ÅSGARD,2006,5,0.26811999999999997,0.8163,0.28626,0.28620999999999996,1.6568900000000002,0.03568,43765
17316,ÅSGARD,2006,6,0.31736,0.72222,0.25811999999999996,0.26242,1.5601200000000002,0.03768,43765
17317,ÅSGARD,2006,7,0.35924,0.96529,0.36958,0.28323000000000004,1.97734,0.04243,43765
17318,ÅSGARD,2006,8,0.34995,0.9767299999999999,0.36102,0.2655,1.9531900000000002,0.04108,43765
17319,ÅSGARD,2006,9,0.27325,0.36357,0.1308,0.11829,0.8859100000000001,0.026269999999999998,43765
17320,ÅSGARD,2006,10,0.59728,0.77382,0.2856,0.0,1.65671,0.03705,43765
17321,ÅSGARD,2006,11,0.60734,0.76756,0.29919,0.0,1.67408,0.03441,43765
17322,ÅSGARD,2006,12,0.6431899999999999,0.9438700000000001,0.36466,0.0,1.9517099999999998,0.03863,43765
17323,ÅSGARD,2007,1,0.66045,1.11795,0.41521,0.0,2.19361,0.04025,43765
17324,ÅSGARD,2007,2,0.58328,0.9743,0.35225,0.0,1.90983,0.03721,43765
17325,ÅSGARD,2007,3,0.5818300000000001,0.84944,0.31198000000000004,0.0,1.74325,0.04174,43765
17326,ÅSGARD,2007,4,0.58941,1.11011,0.4087,0.0,2.10822,0.04432,43765
17327,ÅSGARD,2007,5,0.6066600000000001,1.14641,0.4116,0.0,2.16466,0.04572,43765
17328,ÅSGARD,2007,6,0.55881,0.8563700000000001,0.3209,0.0,1.7360799999999998,0.0477,43765
17329,ÅSGARD,2007,7,0.66896,1.0244799999999998,0.3798,0.0,2.07324,0.0547,43765
17330,ÅSGARD,2007,8,0.55333,0.93863,0.34238,0.0,1.83433,0.04798,43765
17331,ÅSGARD,2007,9,0.29184,0.56635,0.19144,0.0,1.0496299999999998,0.02389,43765
17332,ÅSGARD,2007,10,0.58091,0.96572,0.34128000000000003,0.0,1.8879099999999998,0.04699,43765
17333,ÅSGARD,2007,11,0.58714,0.99895,0.36169,0.0,1.9477799999999998,0.059620000000000006,43765
17334,ÅSGARD,2007,12,0.53067,0.8923200000000001,0.32245,0.0,1.74544,0.06167,43765
17335,ÅSGARD,2008,1,0.5534100000000001,0.9945,0.35238,0.0,1.90029,0.06155,43765
17336,ÅSGARD,2008,2,0.45876000000000006,0.79028,0.28522,0.0,1.53426,0.06131,43765
17337,ÅSGARD,2008,3,0.5108199999999999,0.95405,0.3423,0.0,1.8071700000000002,0.05699,43765
17338,ÅSGARD,2008,4,0.51263,0.88999,0.28554,0.0,1.6881599999999999,0.04977,43765
17339,ÅSGARD,2008,5,0.54598,1.08027,0.38866,0.0,2.01491,0.05407000000000001,43765
17340,ÅSGARD,2008,6,0.5201100000000001,1.0625799999999999,0.35591,0.0,1.9386,0.05069,43765
17341,ÅSGARD,2008,7,0.539,1.11009,0.37843000000000004,0.0,2.02752,0.05341,43765
17342,ÅSGARD,2008,8,0.52245,1.0225600000000001,0.35588000000000003,0.0,1.90088,0.053610000000000005,43765
17343,ÅSGARD,2008,9,0.29179,0.37044,0.12427,0.0,0.7864899999999999,0.03242,43765
17344,ÅSGARD,2008,10,0.4756,1.02672,0.38508000000000003,0.0,1.8874099999999998,0.04551,43765
17345,ÅSGARD,2008,11,0.49318,1.07715,0.40274,0.0,1.97307,0.06241,43765
17346,ÅSGARD,2008,12,0.5250199999999999,1.03829,0.36606,0.0,1.92937,0.09531,43765
17347,ÅSGARD,2009,1,0.47636999999999996,0.94514,0.37459000000000003,0.0,1.7961,0.07171,43765
17348,ÅSGARD,2009,2,0.48362,0.99167,0.38526,0.0,1.8605599999999998,0.07151,43765
17349,ÅSGARD,2009,3,0.50305,1.07655,0.39357,0.0,1.97317,0.07771,43765
17350,ÅSGARD,2009,4,0.5030600000000001,1.07566,0.39774,0.0,1.9764599999999999,0.07311000000000001,43765
17351,ÅSGARD,2009,5,0.50794,1.05345,0.39016,0.0,1.95156,0.07282999999999999,43765
