,prfInformationCarrier,prfYear,prfMonth,prfPrdOilNetMillSm3,prfPrdGasNetBillSm3,prfPrdNGLNetMillSm3,prfPrdCondensateNetMillSm3,prfPrdOeNetMillSm3,prfPrdProducedWaterInFieldMillSm3,prfNpdidInformationCarrier
17117,ØST FRIGG,1988,8,0.0,0.0,0.0,0.0,0.0,0.0,43576
17118,ØST FRIGG,1988,9,0.0,0.0,0.0,0.0,0.0,0.0,43576
17119,ØST FRIGG,1988,10,0.0,0.09406,0.0,0.00022999999999999998,0.09429,0.0,43576
17120,ØST FRIGG,1988,11,0.0,0.13280999999999998,0.0,0.00065,0.13346,0.0,43576
17121,ØST FRIGG,1988,12,0.0,0.16460999999999998,0.0,0.00054,0.16514,0.0,43576
17122,ØST FRIGG,1989,1,0.0,0.15817,0.0,0.00074,0.15891,0.0,43576
17123,ØST FRIGG,1989,2,0.0,0.17476,0.0,0.00103,0.17579,0.0,43576
17124,ØST FRIGG,1989,3,0.0,0.15964,0.0,0.00143,0.16107,0.0,43576
17125,ØST FRIGG,1989,4,0.0,0.16935999999999998,0.0,0.0009,0.17026,0.0,43576
17126,ØST FRIGG,1989,5,0.0,0.1407,0.0,0.0015300000000000001,0.14223,0.0,43576
17127,ØST FRIGG,1989,6,0.0,0.05057,0.0,0.00101,0.051579999999999994,0.0,43576
17128,ØST FRIGG,1989,7,0.0,0.02733,0.0,-1e-05,0.02733,0.0,43576
17129,ØST FRIGG,1989,8,0.0,0.04671,0.0,0.00025,0.04696,0.0,43576
17130,ØST FRIGG,1989,9,0.0,0.08076,0.0,0.00047000000000000004,0.08123,0.0,43576
17131,ØST FRIGG,1989,10,0.0,0.15336,0.0,0.00045999999999999996,0.15382,0.0,43576
17132,ØST FRIGG,1989,11,0.0,0.18957000000000002,0.0,0.00212,0.19169,0.0,43576
17133,ØST FRIGG,1989,12,0.0,0.15388,0.0,0.00187,0.15575999999999998,0.0,43576
17134,ØST FRIGG,1990,1,0.0,0.09153,0.0,0.00054,0.09206,0.0,43576
17135,ØST FRIGG,1990,2,0.0,0.08186,0.0,0.00033999999999999997,0.0822,0.0,43576
17136,ØST FRIGG,1990,3,0.0,0.08968,0.0,0.00036,0.09004,0.0,43576
17137,ØST FRIGG,1990,4,0.0,0.08511,0.0,0.0008300000000000001,0.08594,0.0,43576
17138,ØST FRIGG,1990,5,0.0,0.08639,0.0,0.00079,0.08718,0.0,43576
17139,ØST FRIGG,1990,6,0.0,0.08421000000000001,0.0,0.00074,0.08495,0.0,43576
17140,ØST FRIGG,1990,7,0.0,0.06412000000000001,0.0,0.00041,0.06452999999999999,0.0,43576
17141,ØST FRIGG,1990,8,0.0,0.0939,0.0,0.00053,0.09443,0.0,43576
17142,ØST FRIGG,1990,9,0.0,0.18843,0.0,0.00122,0.18965,0.0,43576
17143,ØST FRIGG,1990,10,0.0,0.17099,0.0,0.0011300000000000001,0.17213,0.0,43576
17144,ØST FRIGG,1990,11,0.0,0.15587,0.0,0.0007099999999999999,0.15657000000000001,0.0,43576
17145,ØST FRIGG,1990,12,0.0,0.18336,0.0,0.00193,0.1853,0.0,43576
17146,ØST FRIGG,1991,1,0.0,0.15855,0.0,0.00033999999999999997,0.15889,0.0,43576
17147,ØST FRIGG,1991,2,0.0,0.13701,0.0,0.0015300000000000001,0.13853,0.0,43576
17148,ØST FRIGG,1991,3,0.0,0.13802,0.0,-5e-05,0.13797,0.0,43576
17149,ØST FRIGG,1991,4,0.0,0.12996,0.0,0.00271,0.13266,0.0,43576
17150,ØST FRIGG,1991,5,0.0,0.12743,0.0,-0.00016999999999999999,0.12725999999999998,0.0,43576
17151,ØST FRIGG,1991,6,0.0,0.10264000000000001,0.0,0.0011300000000000001,0.10377,0.0,43576
17152,ØST FRIGG,1991,7,0.0,0.12007999999999999,0.0,0.00088,0.12095999999999998,0.0,43576
17153,ØST FRIGG,1991,8,0.0,0.12999000000000002,0.0,0.0014,0.13139,0.0,43576
