Date,Barents sea,North sea,Norwegian sea,Sum
1977,0,2.6549,0,2.6549
1978,0,14.2008,0,14.2008
1979,0,20.6698,0,20.6698
1980,0,25.0884,0,25.0884
1981,0,24.9512,0,24.9512
1982,0,23.9601,0,23.9601
1983,0,23.6126,0,23.6126
1984,0,25.9627,0,25.9627
1985,0,26.1857,0,26.1857
1986,0,26.0898,0,26.0898
1987,0,28.1509,0,28.1509
1988,0,28.3297,0,28.3297
1989,0,28.7377,0,28.7377
1990,0,25.4795,0,25.4795
1991,0,25.0272,0,25.0272
1992,0,25.8338,0,25.8338
1993,0,24.8039,0,24.8039
1994,0,26.8417,0,26.8417
1995,0,27.8139,0,27.8139
1996,0,37.3982,0,37.3982
1997,0,42.6184,0.32642,42.9448
1998,0,43.6239,0.57061,44.1945
1999,0,47.8271,0.64373,48.4708
2000,0,48.6377,1.15842,49.7961
2001,0,47.4424,6.59424,54.0367
2002,0,56.1802,9.41394,65.5941
2003,0,60.1568,12.8033,72.9601
2004,0,64.8318,14.3473,79.1791
2005,0,71.1877,14.6552,85.8429
2006,0,72.9029,15.7657,88.6686
2007,0.1447,69.8812,20.2842,90.3101
2008,2.35513,65.9855,31.7698,100.111
2009,3.33263,58.8508,42.2211,104.405
2010,4.99947,61.5462,40.7191,107.265
2011,4.31486,55.6809,41.2709,101.267
2012,4.65135,69.2313,40.8403,114.723
2013,4.28893,64.0223,40.435,108.746
2014,5.2237,61.5148,42.0817,108.82
2015,5.96309,72.0917,39.0976,117.152
2016,6.01232,71.501,39.4495,116.963
