Date,Barents sea,North sea,Norwegian sea,Sum
1977,0,0.0457516,0,0.0457516
1978,0,0.24472,0,0.24472
1979,0,0.3562,0,0.3562
1980,0,0.431164,0,0.431164
1981,0,0.42998,0,0.42998
1982,0,0.412901,0,0.412901
1983,0,0.406913,0,0.406913
1984,0,0.44619,0,0.44619
1985,0,0.451256,0,0.451256
1986,0,0.449602,0,0.449602
1987,0,0.485122,0,0.485122
1988,0,0.486868,0,0.486868
1989,0,0.495234,0,0.495234
1990,0,0.439085,0,0.439085
1991,0,0.43129,0,0.43129
1992,0,0.443975,0,0.443975
1993,0,0.427442,0,0.427442
1994,0,0.46256,0,0.46256
1995,0,0.479313,0,0.479313
1996,0,0.642717,0,0.642717
1997,0,0.734438,0.00562516,0.740063
1998,0,0.751766,0.00983325,0.761599
1999,0,0.824199,0.0110933,0.835292
2000,0,0.835877,0.0199084,0.855785
2001,0,0.81757,0.113638,0.931207
2002,0,0.968146,0.162229,1.13037
2003,0,1.03668,0.220637,1.25731
2004,0,1.11419,0.24657,1.36076
2005,0,1.22677,0.252551,1.47932
2006,0,1.25633,0.271688,1.52801
2007,0.0024936,1.20425,0.349556,1.5563
2008,0.0404748,1.13401,0.54599,1.72048
2009,0.0574308,1.01417,0.727592,1.79919
2010,0.0861553,1.06062,0.701707,1.84848
2011,0.0743575,0.959542,0.711217,1.74512
2012,0.0799371,1.18979,0.701872,1.9716
2013,0.0739106,1.10329,0.696812,1.87401
2014,0.0900194,1.06008,0.725189,1.87529
2015,0.102761,1.24235,0.673764,2.01887
2016,0.103326,1.2288,0.677971,2.0101
