Date,Gigant,Ikkje gigant,Sum
1972,0.0331175,0,0.0331175
1973,0.0322174,0,0.0322174
1974,0.0347099,0,0.0347099
1975,0.189482,0,0.189482
1976,0.27887,0,0.27887
1977,0.298638,0.0339529,0.332591
1978,0.352472,0.248367,0.600839
1979,0.375182,0.388567,0.763749
1980,0.509856,0.449072,0.958928
1981,0.537293,0.404524,0.941817
1982,0.565689,0.378973,0.944662
1983,0.706055,0.362025,1.06808
1984,0.795942,0.40297,1.19891
1985,0.886115,0.38889,1.275
1986,0.963272,0.394116,1.35739
1987,1.08384,0.454733,1.53857
1988,1.22986,0.453409,1.68327
1989,1.61073,0.451562,2.06229
1990,1.67072,0.484791,2.15551
1991,1.8327,0.55391,2.38661
1992,2.10358,0.557573,2.66115
1993,2.20991,0.592836,2.80275
1994,2.29838,0.849182,3.14757
1995,2.31659,1.05604,3.37264
1996,2.68647,1.17888,3.86535
1997,2.84929,1.15405,4.00334
1998,2.67388,1.20999,3.88387
1999,2.66018,1.29761,3.95779
2000,2.62572,1.56096,4.18668
2001,2.69657,1.63768,4.33425
2002,2.87594,1.57643,4.45236
2003,2.89799,1.61194,4.50994
2004,2.80298,1.73808,4.54106
2005,2.66144,1.78012,4.44155
2006,2.48962,1.81113,4.30075
2007,2.45014,1.65717,4.1073
2008,2.52477,1.66234,4.18711
2009,2.44641,1.70235,4.14876
2010,2.39692,1.58928,3.9862
2011,2.19276,1.59258,3.78534
2012,2.36618,1.52263,3.88882
2013,2.17764,1.53415,3.71179
2014,2.15611,1.60793,3.76405
2015,2.23732,1.72947,3.96679
2016,2.26242,1.74255,4.00496
