Date,Barents sea,North sea,Norwegian sea,Sum
1972,0,1.92703,0,1.92703
1973,0,1.86953,0,1.86953
1974,0,2.01417,0,2.01417
1975,0,10.9954,0,10.9954
1976,0,16.2268,0,16.2268
1977,0,19.2998,0,19.2998
1978,0,34.8659,0,34.8659
1979,0,44.3193,0,44.3193
1980,0,55.7977,0,55.7977
1981,0,54.6523,0,54.6523
1982,0,54.8174,0,54.8174
1983,0,61.9792,0,61.9792
1984,0,69.7618,0,69.7618
1985,0,73.9868,0,73.9868
1986,0,78.7673,0,78.7673
1987,0,89.2812,0,89.2812
1988,0,97.9455,0,97.9455
1989,0,119.672,0,119.672
1990,0,125.082,0,125.082
1991,0,138.492,0,138.492
1992,0,154.846,0,154.846
1993,0,162.516,0.12314,162.64
1994,0,178.762,3.88699,182.649
1995,0,187.68,8.02964,195.709
1996,0,204.282,20.6336,224.916
1997,0,207.291,25.0168,232.308
1998,0,193.909,31.4665,225.376
1999,0,188.614,41.0511,229.665
2000,0,197.723,45.8902,243.613
2001,0,197.155,54.3556,251.511
2002,0,201.671,56.6938,258.365
2003,0,206.008,55.697,261.705
2004,0,209.29,54.9433,264.234
2005,0,207.321,50.4159,257.737
2006,0,196.072,53.495,249.567
2007,0.26959,182.077,55.9944,238.341
2008,3.1084,174.646,65.8833,243.638
2009,4.25636,161.846,74.6551,240.757
2010,6.31284,153.999,71.0233,231.335
2011,5.43682,142.173,72.0675,219.677
2012,5.85174,150.975,69.4672,226.294
2013,5.38926,142.666,67.3393,215.395
2014,6.50803,140.789,71.1256,218.423
2015,7.38482,156.898,65.904,230.187
2016,9.08003,159.89,62.6951,231.665
