Date,Barents sea,North sea,Norwegian sea,Sum
1972,0,0.0331175,0,0.0331175
1973,0,0.0322174,0,0.0322174
1974,0,0.0347099,0,0.0347099
1975,0,0.189482,0,0.189482
1976,0,0.27887,0,0.27887
1977,0,0.332591,0,0.332591
1978,0,0.600839,0,0.600839
1979,0,0.763749,0,0.763749
1980,0,0.958928,0,0.958928
1981,0,0.941817,0,0.941817
1982,0,0.944662,0,0.944662
1983,0,1.06808,0,1.06808
1984,0,1.19891,0,1.19891
1985,0,1.275,0,1.275
1986,0,1.35739,0,1.35739
1987,0,1.53857,0,1.53857
1988,0,1.68327,0,1.68327
1989,0,2.06229,0,2.06229
1990,0,2.15551,0,2.15551
1991,0,2.38661,0,2.38661
1992,0,2.66115,0,2.66115
1993,0,2.80063,0.00212206,2.80275
1994,0,3.08058,0.066984,3.14757
1995,0,3.23426,0.138374,3.37264
1996,0,3.51075,0.354605,3.86535
1997,0,3.57222,0.431111,4.00334
1998,0,3.34161,0.542258,3.88387
1999,0,3.25036,0.707429,3.95779
2000,0,3.39802,0.78866,4.18668
2001,0,3.39755,0.936704,4.33425
2002,0,3.47537,0.976997,4.45236
2003,0,3.55012,0.959819,4.50994
2004,0,3.59682,0.944244,4.54106
2005,0,3.57274,0.86881,4.44155
2006,0,3.37888,0.921873,4.30075
2007,0.00464581,3.13771,0.964945,4.1073
2008,0.0534203,3.00143,1.13226,4.18711
2009,0.0733493,2.78907,1.28652,4.14894
2010,0.108788,2.65384,1.22394,3.98657
2011,0.093692,2.45005,1.24193,3.78567
2012,0.100567,2.59463,1.19385,3.88905
2013,0.0928725,2.45854,1.16045,3.71187
2014,0.112152,2.42621,1.2257,3.76406
2015,0.127262,2.70381,1.13571,3.96679
2016,0.156048,2.74783,1.07746,3.98134
