date,less-than-half-produced,more-than-half-produced,mboed,mma
1971-06,0.00,0.00,0.00,0.00
1971-07,0.01,0.00,0.01,0.00
1971-08,0.01,0.00,0.01,0.01
1971-09,0.01,0.00,0.01,0.01
1971-10,0.02,0.00,0.02,0.01
1971-11,0.01,0.00,0.01,0.01
1971-12,0.01,0.00,0.01,0.01
1972-01,0.01,0.00,0.01,0.01
1972-02,0.03,0.00,0.03,0.01
1972-03,0.04,0.00,0.04,0.01
1972-04,0.04,0.00,0.04,0.02
1972-05,0.04,0.00,0.04,0.02
1972-06,0.04,0.00,0.04,0.02
1972-07,0.04,0.00,0.04,0.03
1972-08,0.04,0.00,0.04,0.03
1972-09,0.04,0.00,0.04,0.03
1972-10,0.04,0.00,0.04,0.03
1972-11,0.02,0.00,0.02,0.03
1972-12,0.03,0.00,0.03,0.03
1973-01,0.04,0.00,0.04,0.04
1973-02,0.03,0.00,0.03,0.04
1973-03,0.04,0.00,0.04,0.04
1973-04,0.03,0.00,0.03,0.03
1973-05,0.04,0.00,0.04,0.03
1973-06,0.04,0.00,0.04,0.03
1973-07,0.03,0.00,0.03,0.03
1973-08,0.04,0.00,0.04,0.03
1973-09,0.04,0.00,0.04,0.03
1973-10,0.04,0.00,0.04,0.03
1973-11,0.02,0.00,0.02,0.03
1973-12,0.00,0.00,0.00,0.03
1974-01,0.00,0.00,0.00,0.03
1974-02,0.03,0.00,0.03,0.03
1974-03,0.02,0.00,0.02,0.03
1974-04,0.01,0.00,0.01,0.03
1974-05,0.03,0.00,0.03,0.02
1974-06,0.04,0.00,0.04,0.02
1974-07,0.05,0.00,0.05,0.03
1974-08,0.05,0.00,0.05,0.03
1974-09,0.05,0.00,0.05,0.03
1974-10,0.04,0.00,0.04,0.03
1974-11,0.06,0.00,0.06,0.03
1974-12,0.05,0.00,0.05,0.03
1975-01,0.02,0.00,0.02,0.04
1975-02,0.08,0.00,0.08,0.04
1975-03,0.12,0.00,0.12,0.05
1975-04,0.15,0.00,0.15,0.06
1975-05,0.17,0.00,0.17,0.07
1975-06,0.22,0.00,0.22,0.09
1975-07,0.25,0.00,0.25,0.11
1975-08,0.22,0.00,0.22,0.12
1975-09,0.29,0.00,0.29,0.14
1975-10,0.26,0.00,0.26,0.16
1975-11,0.23,0.00,0.23,0.17
1975-12,0.25,0.00,0.25,0.19
1976-01,0.26,0.00,0.26,0.21
1976-02,0.28,0.00,0.28,0.23
1976-03,0.27,0.00,0.27,0.24
1976-04,0.20,0.00,0.20,0.24
1976-05,0.17,0.00,0.17,0.24
1976-06,0.28,0.00,0.28,0.25
1976-07,0.32,0.00,0.32,0.25
1976-08,0.32,0.00,0.32,0.26
1976-09,0.31,0.00,0.31,0.26
1976-10,0.35,0.00,0.35,0.27
1976-11,0.24,0.00,0.24,0.27
1976-12,0.35,0.00,0.35,0.28
1977-01,0.34,0.00,0.34,0.29
1977-02,0.34,0.00,0.34,0.29
1977-03,0.32,0.00,0.32,0.29
1977-04,0.24,0.00,0.24,0.30
1977-05,0.16,0.00,0.16,0.30
1977-06,0.21,0.00,0.21,0.29
1977-07,0.26,0.00,0.26,0.29
1977-08,0.28,0.00,0.28,0.28
1977-09,0.27,0.00,0.27,0.28
1977-10,0.31,0.00,0.31,0.28
1977-11,0.33,0.00,0.33,0.28
1977-12,0.39,0.00,0.39,0.29
1978-01,0.40,0.00,0.40,0.29
1978-02,0.38,0.00,0.38,0.29
1978-03,0.36,0.00,0.36,0.30
1978-04,0.37,0.00,0.37,0.31
1978-05,0.34,0.00,0.34,0.32
1978-06,0.27,0.00,0.27,0.33
1978-07,0.36,0.00,0.36,0.34
1978-08,0.38,0.00,0.38,0.35
1978-09,0.37,0.00,0.37,0.35
1978-10,0.35,0.00,0.35,0.36
1978-11,0.36,0.00,0.36,0.36
1978-12,0.35,0.00,0.35,0.36
1979-01,0.36,0.00,0.36,0.35
1979-02,0.36,0.00,0.36,0.35
1979-03,0.35,0.00,0.35,0.35
1979-04,0.39,0.00,0.39,0.35
1979-05,0.36,0.00,0.36,0.35
1979-06,0.34,0.00,0.34,0.36
1979-07,0.35,0.00,0.35,0.36
1979-08,0.35,0.03,0.38,0.36
1979-09,0.40,0.04,0.44,0.37
1979-10,0.31,0.02,0.34,0.36
1979-11,0.44,0.03,0.47,0.37
1979-12,0.48,0.03,0.51,0.39
1980-01,0.51,0.03,0.54,0.40
1980-02,0.55,0.03,0.57,0.42
1980-03,0.50,0.02,0.52,0.43
1980-04,0.48,0.02,0.50,0.44
1980-05,0.49,0.02,0.51,0.46
1980-06,0.49,0.02,0.51,0.47
1980-07,0.24,0.01,0.25,0.46
1980-08,0.47,0.02,0.49,0.47
1980-09,0.44,0.02,0.46,0.47
1980-10,0.47,0.02,0.49,0.48
1980-11,0.47,0.02,0.48,0.49
1980-12,0.49,0.01,0.50,0.48
1981-01,0.48,0.01,0.49,0.48
1981-02,0.48,0.01,0.49,0.47
1981-03,0.47,0.01,0.48,0.47
1981-04,0.45,0.01,0.46,0.47
1981-05,0.51,0.01,0.52,0.47
1981-06,0.52,0.01,0.53,0.47
1981-07,0.51,0.01,0.52,0.49
1981-08,0.32,0.00,0.32,0.48
1981-09,0.47,0.01,0.48,0.48
1981-10,0.39,0.01,0.40,0.47
1981-11,0.49,0.01,0.50,0.47
1981-12,0.48,0.01,0.49,0.47
1982-01,0.51,0.01,0.52,0.48
1982-02,0.49,0.01,0.51,0.48
1982-03,0.47,0.03,0.50,0.48
1982-04,0.51,0.03,0.54,0.49
1982-05,0.45,0.02,0.47,0.48
1982-06,0.42,0.03,0.44,0.47
1982-07,0.46,0.02,0.48,0.47
1982-08,0.44,0.05,0.49,0.48
1982-09,0.39,0.04,0.44,0.48
1982-10,0.36,0.04,0.39,0.48
1982-11,0.50,0.06,0.55,0.49
1982-12,0.51,0.05,0.56,0.49
1983-01,0.47,0.05,0.52,0.49
1983-02,0.57,0.06,0.62,0.50
1983-03,0.56,0.05,0.61,0.51
1983-04,0.57,0.05,0.62,0.52
1983-05,0.55,0.05,0.60,0.53
1983-06,0.58,0.05,0.63,0.54
1983-07,0.61,0.05,0.66,0.56
1983-08,0.52,0.04,0.56,0.56
1983-09,0.54,0.05,0.59,0.58
1983-10,0.59,0.05,0.64,0.60
1983-11,0.61,0.04,0.65,0.61
1983-12,0.62,0.04,0.67,0.61
1984-01,0.64,0.04,0.69,0.63
1984-02,0.65,0.04,0.69,0.63
1984-03,0.61,0.04,0.65,0.64
1984-04,0.63,0.04,0.67,0.64
1984-05,0.67,0.04,0.71,0.65
1984-06,0.65,0.04,0.68,0.66
1984-07,0.62,0.03,0.66,0.66
1984-08,0.67,0.02,0.69,0.67
1984-09,0.70,0.03,0.73,0.68
1984-10,0.73,0.03,0.76,0.69
1984-11,0.72,0.04,0.76,0.70
1984-12,0.74,0.04,0.78,0.71
1985-01,0.68,0.03,0.71,0.71
1985-02,0.67,0.03,0.71,0.71
1985-03,0.70,0.04,0.74,0.72
1985-04,0.71,0.04,0.75,0.72
1985-05,0.69,0.03,0.73,0.72
1985-06,0.61,0.03,0.64,0.72
