date,mma,1-0 - 50% produsert,1-50 - 60% produsert,3-60 - 70% produsert,4-70 - 80% produsert,5-80 - 90% produsert,6-90 - 100% produsert
2002-06,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2002-07,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2002-08,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2002-09,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2002-10,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2002-11,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2002-12,0.00,0.01,0.00,0.00,0.00,0.00,0.00
2003-01,0.00,0.02,0.00,0.00,0.00,0.00,0.00
2003-02,0.01,0.02,0.00,0.00,0.00,0.00,0.00
2003-03,0.01,0.02,0.00,0.00,0.00,0.00,0.00
2003-04,0.01,0.02,0.00,0.00,0.00,0.00,0.00
2003-05,0.01,0.02,0.00,0.00,0.00,0.00,0.00
2003-06,0.01,0.02,0.00,0.00,0.00,0.00,0.00
2003-07,0.01,0.02,0.00,0.00,0.00,0.00,0.00
2003-08,0.01,0.01,0.00,0.00,0.00,0.00,0.00
2003-09,0.02,0.04,0.00,0.00,0.00,0.00,0.00
2003-10,0.02,0.05,0.00,0.00,0.00,0.00,0.00
2003-11,0.03,0.08,0.00,0.00,0.00,0.00,0.00
2003-12,0.03,0.08,0.00,0.00,0.00,0.00,0.00
2004-01,0.04,0.08,0.00,0.00,0.00,0.00,0.00
2004-02,0.04,0.08,0.00,0.00,0.00,0.00,0.00
2004-03,0.05,0.08,0.00,0.00,0.00,0.00,0.00
2004-04,0.05,0.08,0.00,0.00,0.00,0.00,0.00
2004-05,0.06,0.07,0.00,0.00,0.00,0.00,0.00
2004-06,0.06,0.08,0.00,0.00,0.00,0.00,0.00
2004-07,0.07,0.05,0.02,0.00,0.00,0.00,0.00
2004-08,0.07,0.06,0.02,0.00,0.00,0.00,0.00
2004-09,0.08,0.05,0.02,0.00,0.00,0.00,0.00
2004-10,0.08,0.07,0.01,0.00,0.00,0.00,0.00
2004-11,0.08,0.07,0.00,0.01,0.00,0.00,0.00
2004-12,0.08,0.07,0.00,0.01,0.00,0.00,0.00
2005-01,0.08,0.08,0.00,0.01,0.00,0.00,0.00
2005-02,0.08,0.09,0.00,0.01,0.00,0.00,0.00
2005-03,0.08,0.09,0.00,0.01,0.00,0.00,0.00
2005-04,0.08,0.09,0.00,0.01,0.00,0.00,0.00
2005-05,0.08,0.08,0.00,0.01,0.00,0.00,0.00
2005-06,0.08,0.06,0.00,0.00,0.00,0.00,0.00
2005-07,0.08,0.08,0.00,0.00,0.01,0.00,0.00
2005-08,0.09,0.09,0.00,0.00,0.01,0.00,0.00
2005-09,0.09,0.09,0.00,0.00,0.01,0.00,0.00
2005-10,0.09,0.08,0.00,0.00,0.01,0.00,0.00
2005-11,0.09,0.09,0.00,0.00,0.01,0.00,0.00
2005-12,0.09,0.10,0.00,0.00,0.01,0.00,0.00
2006-01,0.10,0.12,0.00,0.00,0.01,0.00,0.00
2006-02,0.10,0.13,0.00,0.00,0.01,0.00,0.00
2006-03,0.10,0.14,0.00,0.00,0.01,0.00,0.00
2006-04,0.11,0.12,0.00,0.00,0.00,0.01,0.00
2006-05,0.11,0.15,0.00,0.00,0.00,0.00,0.00
2006-06,0.12,0.14,0.00,0.00,0.00,0.00,0.00
2006-07,0.12,0.16,0.00,0.00,0.00,0.00,0.00
2006-08,0.13,0.12,0.00,0.00,0.00,0.00,0.00
2006-09,0.13,0.14,0.00,0.00,0.00,0.00,0.00
2006-10,0.14,0.22,0.00,0.00,0.00,0.00,0.00
2006-11,0.16,0.25,0.00,0.00,0.00,0.00,0.00
2006-12,0.17,0.24,0.00,0.00,0.00,0.00,0.00
2007-01,0.17,0.19,0.00,0.00,0.00,0.00,0.00
2007-02,0.18,0.21,0.00,0.00,0.00,0.00,0.00
2007-03,0.18,0.22,0.00,0.00,0.00,0.00,0.00
2007-04,0.19,0.23,0.00,0.00,0.00,0.00,0.00
2007-05,0.19,0.17,0.00,0.00,0.00,0.00,0.00
2007-06,0.20,0.18,0.00,0.00,0.00,0.00,0.00
2007-07,0.20,0.19,0.00,0.00,0.00,0.00,0.00
2007-08,0.21,0.19,0.00,0.00,0.00,0.00,0.00
2007-09,0.21,0.20,0.00,0.00,0.00,0.00,0.00
2007-10,0.21,0.21,0.00,0.00,0.00,0.00,0.00
2007-11,0.21,0.22,0.00,0.00,0.00,0.00,0.00
2007-12,0.20,0.22,0.00,0.00,0.00,0.00,0.00
2008-01,0.21,0.23,0.00,0.00,0.00,0.00,0.00
2008-02,0.21,0.25,0.00,0.00,0.00,0.00,0.00
2008-03,0.22,0.29,0.00,0.00,0.00,0.00,0.00
2008-04,0.22,0.28,0.00,0.00,0.00,0.00,0.00
2008-05,0.23,0.28,0.00,0.00,0.00,0.00,0.00
2008-06,0.24,0.34,0.00,0.00,0.00,0.00,0.00
2008-07,0.26,0.37,0.00,0.00,0.00,0.00,0.00
2008-08,0.27,0.32,0.00,0.00,0.00,0.00,0.00
