dscName,dscDiscoveryYear,dscReservesRC,dscRecoverableOil,dscRecoverableGas,dscRecoverableNGL,dscRecoverableCondensate,dscRecoverableOe,dscNpdidDiscovery
1/9-1 TOMMELITEN ALPHA,1977,5F,5.87,12.78,0.45,0.00,19.51,43850
15/5-2 EIRIN,1978,5F,0.23,8.25,0.31,0.00,9.06,43898
16/1-12 (Rolvsnes),2009,5F,5.08,0.45,0.19,0.00,5.90,17196400
16/1-14 (Apollo),2010,5F,1.00,0.05,0.02,0.00,1.09,18437181
16/1-26 S,2016,7F,1.30,0.23,0.00,0.00,1.53,28245194
16/2-3 (Ragnarock),2007,7F,2.90,0.40,0.00,0.00,3.30,4527337
16/2-4,2007,7F,1.37,0.18,0.68,0.08,2.93,17237080
16/2-5,2009,7F,0.00,1.90,0.00,0.20,2.10,5490457
16/4-6 S (Luno II),2013,4F,4.78,1.27,0.30,0.00,6.62,23295901
16/4-6 S (Luno II),2013,5F,1.29,0.13,0.03,0.00,1.47,23295901
2/12-1 MJØLNER,1987,4F,2.55,1.09,0.00,0.00,3.64,44006
2/4-17 TJALVE,1992,7F,0.59,0.84,0.00,0.00,1.42,44066
2/4-21 (King Lear),2012,5F,6.52,9.16,0.00,0.00,15.68,21669700
2/5-3 (Sørøst Tor),1972,5F,3.10,0.87,0.00,0.00,3.97,44090
24/9-10 S (Caterpillar),2011,5F,1.17,0.10,0.00,0.00,1.27,20415286
25/1-11 R (Storklakken),2010,5F,1.56,0.15,0.00,0.00,1.71,18086221
25/11-27,2013,5F,4.35,0.00,0.00,0.00,4.35,23395692
25/2-10 S (Frigg-GammaDelta),1986,4F,9.64,2.32,0.00,0.00,11.96,2429169
25/2-18 S (Langfjellet),2016,7F,6.66,1.13,0.00,0.00,7.79,28245710
25/2-5 LILLE FRØY,1976,5F,3.11,1.14,0.00,0.00,4.24,44246
25/4-3 (Gekko),1974,5F,0.60,2.89,0.00,0.00,3.48,1630312
