fldName,cmpLongName,fldCurrentActivitySatus,wlbName,wlbCompletionDate,fldMainArea,fldOwnerKind,fldOwnerName,fldMainSupplyBase,fldNpdidOwner,fldNpdidField,wlbNpdidWellbore,cmpNpdidCompany
ALBUSKJELL,ConocoPhillips Skandinavia AS,Shut down, 1/6-1,26.11.1972,North sea,PRODUCTION LICENSE,018,,20900,43437,239,2410696
ALVE,Statoil Petroleum AS,Producing, 6507/3-1,26.10.1990,Norwegian sea,PRODUCTION LICENSE,159 B,Sandnessjøen,2819945,4444332,1533,17237817
ALVHEIM,Aker BP ASA,Producing, 24/6-2,08.07.1998,North sea,PRODUCTION LICENSE,203,,22436,2845712,3397,28544099
ATLA,Total E&P Norge AS,Producing, 25/5-7,23.10.2010,North sea,PRODUCTION LICENSE,102 C,,5467035,21106284,6423,2410708
BALDER,ExxonMobil Exploration and Production Norway AS,Producing, 25/11-1,09.07.1967,North sea,PRODUCTION LICENSE,001,Dusavik,20756,43562,143,2835212
BLANE,Repsol Norge AS,Producing, 1/2-1,04.06.1989,North sea,BUSINESS ARRANGEMENT AREA,BLANE UNIT,,3437667,3437650,1382,27052812
BRAGE,Wintershall Norge AS,Producing, 31/4-3,11.05.1980,North sea,BUSINESS ARRANGEMENT AREA,BRAGE UNIT,Mongstad,40432,43651,402,21666830
BRYNHILD,Lundin Norway AS,Producing, 7/7-2,25.04.1992,North sea,PRODUCTION LICENSE,148,,21996,21123063,1868,2767314
BYRDING,Statoil Petroleum AS,Approved for production, 35/11-13,28.05.2005,North sea,PRODUCTION LICENSE,090 B,Mongstad,3426781,28975067,5063,17237817
BØYLA,Aker BP ASA,Producing, 24/9-9 S,07.10.2009,North sea,PRODUCTION LICENSE,340,,2986630,22492497,6222,28544099
COD,ConocoPhillips Skandinavia AS,Shut down, 7/11-1,15.06.1968,North sea,PRODUCTION LICENSE,018,,20900,43785,149,2410696
DRAUGEN,A/S Norske Shell,Producing, 6407/9-1,07.09.1984,Norwegian sea,PRODUCTION LICENSE,093,Kristiansund,21548,43758,133,562
DVALIN,DEA Norge AS,Approved for production, 6507/7-14 S,26.09.2010,Norwegian sea,PRODUCTION LICENSE,435,Kristiansund,4238696,29393934,6367,26309819
EDDA,ConocoPhillips Skandinavia AS,Shut down, 2/7-4,03.09.1972,North sea,PRODUCTION LICENSE,018,,20900,43541,263,2410696
EDVARD GRIEG,Lundin Norway AS,Producing, 16/1-8,13.11.2007,North sea,PRODUCTION LICENSE,338,Tananger,2986578,21675433,5612,2767314
EKOFISK,ConocoPhillips Skandinavia AS,Producing, 2/4-2,24.12.1969,North sea,PRODUCTION LICENSE,018,Tananger,20900,43506,172,2410696
ELDFISK,ConocoPhillips Skandinavia AS,Producing, 2/7-1,11.12.1970,North sea,PRODUCTION LICENSE,018,Tananger,20900,43527,179,2410696
EMBLA,ConocoPhillips Skandinavia AS,Producing, 2/7-20,25.06.1988,North sea,PRODUCTION LICENSE,018,Tananger,20900,43534,1062,2410696
ENOCH,Talisman Sinopec North Sea Limited,Producing, ?,,North sea,BUSINESS ARRANGEMENT AREA,ENOCH UNIT,,3437805,3437659,0,26336816
FLYNDRE,Maersk Oil UK Limited,Producing, 1/5-2,15.04.1974,North sea,BUSINESS ARRANGEMENT AREA,FLYNDRE UNIT,,29395339,24635035,238,27116198
FRAM,Statoil Petroleum AS,Producing, 35/11-4,29.12.1990,North sea,PRODUCTION LICENSE,090,Mongstad,21524,1578840,1523,17237817
FRAM H-NORD,Statoil Petroleum AS,Producing, 35/11-15 S,28.06.2007,North sea,BUSINESS ARRANGEMENT AREA,FRAM H-NORD UNIT,Mongstad,23410876,23410947,5517,17237817
FRIGG,Statoil Petroleum AS,Shut down, 25/1-1,22.07.1971,North sea,PRODUCTION LICENSE,903,,28974935,43555,190,17237817
FRØY,Aker BP ASA,Shut down, 25/5-1,01.08.1987,North sea,PRODUCTION LICENSE,364,,3810636,43597,884,28544099
GAUPE,A/S Norske Shell,Producing, 6/3-1,01.02.1985,North sea,PRODUCTION LICENSE,292,,2407572,18161341,450,562
GIMLE,Statoil Petroleum AS,Producing, 34/10-48 S,22.12.2004,North sea,BUSINESS ARRANGEMENT AREA,GIMLE UNIT,Mongstad,4007192,4005142,4902,17237817
GINA KROG,Statoil Petroleum AS,Approved for production, 15/5-1,08.04.1978,North sea,BUSINESS ARRANGEMENT AREA,GINA KROG UNIT,Dusavik,23412556,23384544,315,17237817
GJØA,ENGIE E&P Norge AS,Producing, 35/9-1,07.05.1989,North sea,PRODUCTION LICENSE,153,Florø,22036,4467574,1375,27432696
GLITNE,,Shut down, 15/5-5,05.10.1995,North sea,,,Dusavik,,1272071,2635,
GOLIAT,Eni Norge AS,Producing, 7122/7-1,05.10.2000,Barents sea,PRODUCTION LICENSE,229,Hammerfest,22644,5774394,4173,2388594
GRANE,Statoil Petroleum AS,Producing, 25/11-15,25.12.1991,North sea,BUSINESS ARRANGEMENT AREA,GRANE UNIT,Dusavik,1031365,1035937,1872,17237817
GUDRUN,Statoil Petroleum AS,Producing, 15/3-1 S,06.07.1975,North sea,PRODUCTION LICENSE,025,Dusavik,34512,18116481,309,17237817
GULLFAKS,Statoil Petroleum AS,Producing, 34/10-1,08.09.1978,North sea,PRODUCTION LICENSE,050,Mongstad,21188,43686,424,17237817
GULLFAKS SØR,Statoil Petroleum AS,Producing, 34/10-2,08.12.1978,North sea,PRODUCTION LICENSE,050,Mongstad,21188,43699,425,17237817
GUNGNE,Statoil Petroleum AS,Producing, 15/9-15,01.08.1982,North sea,PRODUCTION LICENSE,046,Dusavik,21156,43464,74,17237817
GYDA,Repsol Norge AS,Producing, 2/1-3,29.03.1980,North sea,PRODUCTION LICENSE,019 B,Tananger,20924,43492,251,27052812
HANZ,Aker BP ASA,Approved for production, 25/10-8,07.04.1997,North sea,PRODUCTION LICENSE,028 B,Tananger,917484,25307278,2955,28544099
HEIDRUN,Statoil Petroleum AS,Producing, 6507/7-2,10.06.1985,Norwegian sea,BUSINESS ARRANGEMENT AREA,HEIDRUN UNIT,Kristiansund,40490,43771,464,17237817
HEIMDAL,Statoil Petroleum AS,Producing, 25/4-1,09.12.1972,North sea,PRODUCTION LICENSE,036 BS,Dusavik,2473189,43590,359,17237817
HOD,Aker BP ASA,Producing, 2/11-2,29.12.1974,North sea,PRODUCTION LICENSE,033,Tananger,21052,43485,285,28544099
HULDRA,Statoil Petroleum AS,Shut down, 30/2-1,12.10.1982,North sea,PRODUCTION LICENSE,878,Mongstad,28973861,97002,72,17237817
HYME,Statoil Petroleum AS,Producing, 6407/8-5 S,26.05.2009,Norwegian sea,PRODUCTION LICENSE,348,Kristiansund,2987047,20474183,6110,17237817
ISLAY,Total E&P UK Ltd,Producing, ?,,North sea,BUSINESS ARRANGEMENT AREA,ISLAY UNIT,,27122635,21105675,0,2747820
