fldName,fldDiscoveryYear,fldCurrentActivityStatus,fldRecoverableOil,fldRecoverableGas,fldRecoverableNGL,fldRecoverableCondensate,fldRecoverableOE,fldRemainingOil,fldRemainingGas,fldRemainingNGL,fldRemainingCondensate,fldRemainingOE,fldNpdidField
ALBUSKJELL,1972,Shut down,7.40,15.50,1.00,0.00,24.80,0.00,0.00,0.00,0.00,0.00,43437
ALVE,1990,Producing,2.00,6.70,1.10,0.00,10.79,0.40,2.00,0.30,0.00,2.97,4444332
ALVHEIM,1998,Producing,47.10,9.60,0.00,0.00,56.70,14.90,5.40,0.00,0.00,20.30,2845712
ATLA,2010,Producing,0.30,1.40,0.00,0.00,1.70,0.10,0.10,0.00,0.00,0.20,21106284
BALDER,1967,Producing,75.00,2.00,0.00,0.00,77.00,9.50,0.40,0.00,0.00,9.90,43562
BLANE,1989,Producing,0.80,0.00,0.00,0.00,0.80,0.10,0.00,0.00,0.00,0.10,3437650
BRAGE,1980,Producing,62.00,4.40,1.40,0.00,69.06,4.30,0.70,0.00,0.00,5.00,43651
BRYNHILD,1992,Producing,0.60,0.00,0.00,0.00,0.60,0.10,0.00,0.00,0.00,0.10,21123063
BYRDING,2005,Approved for production,1.40,0.00,0.00,0.00,1.40,1.40,0.00,0.00,0.00,1.40,28975067
BØYLA,2009,Producing,3.40,0.20,0.00,0.00,3.60,2.00,0.10,0.00,0.00,2.10,22492497
COD,1968,Shut down,2.90,7.30,0.50,0.00,11.15,0.00,0.00,0.00,0.00,0.00,43785
DRAUGEN,1984,Producing,144.20,1.70,2.80,0.00,151.22,6.00,0.00,0.20,0.00,6.38,43758
EDDA,1972,Shut down,4.80,2.00,0.20,0.00,7.18,0.00,0.00,0.00,0.00,0.00,43541
EDVARD GRIEG,2007,Producing,27.70,2.50,0.60,0.00,31.34,23.60,2.20,0.60,0.00,26.94,21675433
EKOFISK,1969,Producing,544.70,158.90,16.10,0.00,734.19,79.50,13.60,2.70,0.00,98.23,43506
ELDFISK,1970,Producing,132.50,43.40,4.70,0.00,184.83,23.30,2.80,0.70,0.00,27.43,43527
EMBLA,1988,Producing,12.00,6.80,0.60,0.00,19.94,1.00,2.60,0.10,0.00,3.79,43534
ENOCH,1985,Producing,0.30,0.00,0.00,0.00,0.30,0.10,0.00,0.00,0.00,0.10,3437659
FLYNDRE,1974,Approved for production,0.20,0.00,0.00,0.00,0.20,0.20,0.00,0.00,0.00,0.20,24635035
FRAM,1990,Producing,37.40,11.20,1.00,0.00,50.50,5.20,6.30,0.50,0.00,12.45,1578840
FRAM H-NORD,2007,Producing,0.70,0.00,0.00,0.00,0.70,0.20,0.00,0.00,0.00,0.20,23410947
FRIGG,1971,Shut down,0.00,116.20,0.00,0.50,116.70,0.00,0.00,0.00,0.00,0.00,43555
FRØY,1987,Shut down,5.60,1.60,0.00,0.10,7.30,0.00,0.00,0.00,0.00,0.00,43597
GAUPE,1985,Producing,0.40,0.40,0.00,0.00,0.80,0.20,0.00,0.00,0.00,0.20,18161341
GIMLE,2004,Producing,3.10,1.10,0.20,0.00,4.58,0.20,0.20,0.00,0.00,0.40,4005142
GINA KROG,1978,Approved for production,16.80,11.80,3.20,0.00,34.68,16.80,11.80,3.20,0.00,34.68,23384544
GJØA,1989,Producing,13.50,36.00,8.70,0.00,66.03,2.50,15.60,4.20,-0.80,25.28,4467574
GLITNE,1995,Shut down,8.90,0.00,0.00,0.00,8.90,0.00,0.00,0.00,0.00,0.00,1272071
GOLIAT,2000,Producing,31.00,0.00,0.00,0.00,31.00,28.00,0.00,0.00,0.00,28.00,5774394
GRANE,1991,Producing,144.20,0.00,0.00,0.00,144.20,37.50,0.00,0.00,0.00,37.50,1035937
GUDRUN,1975,Producing,13.40,7.90,1.10,0.00,23.39,5.80,4.00,0.50,0.00,10.75,18116481
GULLFAKS,1978,Producing,379.10,23.10,2.80,0.00,407.52,16.10,0.00,0.00,0.00,16.10,43686
GULLFAKS SØR,1978,Producing,62.10,84.70,12.30,0.00,170.17,11.70,38.10,6.20,0.00,61.58,43699
GUNGNE,1982,Producing,0.30,15.40,2.20,4.50,24.38,0.10,0.50,0.10,0.10,0.89,43464
GYDA,1980,Producing,36.20,6.20,1.90,0.00,46.01,0.10,0.10,0.00,0.00,0.20,43492
HANZ,1997,Approved for production,2.30,0.40,0.10,0.00,2.89,2.30,0.40,0.10,0.00,2.89,25307278
HEIDRUN,1985,Producing,186.00,49.00,2.50,0.00,239.75,31.10,31.40,2.00,0.00,66.30,43771
HEIMDAL,1972,Producing,6.70,46.00,0.00,0.00,52.70,0.10,0.60,0.00,0.00,0.70,43590
HOD,1974,Producing,10.10,1.80,0.50,0.00,12.85,0.40,0.10,0.20,0.00,0.88,43485
HULDRA,1982,Shut down,5.20,17.30,0.10,0.00,22.69,0.00,0.00,0.00,0.00,0.00,97002
HYME,2009,Producing,3.10,0.90,0.30,0.00,4.57,1.30,0.60,0.20,0.00,2.28,20474183
ISLAY,2008,Producing,0.00,0.10,0.00,0.00,0.10,0.00,0.00,0.00,0.00,0.00,21105675
IVAR AASEN,2008,Producing,23.30,4.40,0.90,0.00,29.41,23.20,4.40,0.90,0.00,29.31,23384520
JETTE,2009,Shut down,0.40,0.00,0.00,0.00,0.40,0.00,0.00,0.00,0.00,0.00,21613906
JOHAN SVERDRUP,2010,Approved for production,282.30,8.60,3.80,0.00,298.12,282.30,8.60,3.80,0.00,298.12,26376286
JOTUN,1994,Shut down,23.10,0.90,0.00,0.00,24.00,0.00,0.00,0.00,0.00,0.00,43604
KNARR,2008,Producing,9.90,0.30,0.50,0.00,11.15,5.80,0.10,0.20,0.00,6.28,20460988
KRISTIN,1997,Producing,23.00,29.00,5.90,2.10,65.31,3.00,5.30,0.80,0.00,9.82,1854729
KVITEBJØRN,1994,Producing,32.50,96.50,11.40,0.00,150.66,7.20,29.80,5.90,0.00,48.21,1036101
LILLE-FRIGG,1975,Shut down,1.30,2.20,0.00,0.00,3.50,0.00,0.00,0.00,0.00,0.00,43583
MARIA,2010,Approved for production,25.30,2.20,1.90,0.00,31.11,25.30,2.20,1.90,0.00,31.11,26465170
MARTIN LINGE,1978,Approved for production,10.90,25.80,2.10,0.00,40.69,10.90,25.80,2.10,0.00,40.69,21675447
MARULK,1992,Producing,0.50,6.80,0.60,0.00,8.44,0.10,2.50,0.20,0.00,2.98,18212090
MIKKEL,1987,Producing,6.50,34.20,9.20,2.20,60.38,2.20,13.60,3.70,0.00,22.83,1630514
MIME,1982,Shut down,0.40,0.10,0.00,0.00,0.50,0.00,0.00,0.00,0.00,0.00,43792
MORVIN,2001,Producing,9.00,4.30,1.00,0.00,15.20,1.90,1.40,0.40,0.00,4.06,4966234
MURCHISON,1975,Shut down,13.90,0.30,0.30,0.00,14.77,0.00,0.00,0.00,0.00,0.00,43665
NJORD,1986,Producing,31.80,23.40,6.40,0.00,67.36,5.10,13.20,4.10,0.00,26.09,43751
NORDØST FRIGG,1974,Shut down,0.00,11.60,0.00,0.10,11.70,0.00,0.00,0.00,0.00,0.00,43568
NORNE,1992,Producing,91.50,10.20,1.20,0.00,103.98,2.00,3.00,0.40,0.00,5.76,43778
ODIN,1974,Shut down,0.00,27.30,0.00,0.20,27.50,0.00,0.00,0.00,0.00,0.00,43610
ORMEN LANGE,1997,Producing,0.00,298.30,0.00,19.50,317.80,0.00,123.90,0.00,6.90,130.80,2762452
OSEBERG,1979,Producing,399.10,116.10,12.90,0.00,539.71,24.90,71.40,3.10,0.00,102.19,43625
OSEBERG SØR,1984,Producing,64.90,21.60,2.20,0.00,90.68,12.60,10.50,1.10,0.00,25.19,43645
OSEBERG ØST,1981,Producing,27.10,0.40,0.10,0.00,27.69,6.70,0.10,0.10,0.00,6.99,43639
OSELVAR,1991,Producing,0.90,0.50,0.00,0.00,1.40,0.30,0.10,0.00,0.00,0.40,5506919
REV,2001,Producing,0.80,2.70,0.10,0.00,3.69,0.10,0.00,0.00,0.00,0.10,4467554
RINGHORNE ØST,2003,Producing,14.60,0.30,0.00,0.00,14.90,2.80,0.10,0.00,0.00,2.90,3505505
SIGYN,1982,Producing,1.20,8.00,3.10,6.00,21.09,0.90,1.00,0.50,0.00,2.85,1630100
SKARV,1998,Producing,19.10,44.40,5.00,0.00,73.00,8.20,29.80,3.30,0.00,44.27,4704482
SKIRNE,1990,Producing,2.30,10.70,0.00,0.00,13.00,0.30,0.50,0.00,0.00,0.80,2138816
SKULD,2008,Producing,5.70,0.40,0.10,0.00,6.29,2.50,0.10,0.00,0.00,2.60,21350124
SLEIPNER VEST,1974,Producing,4.50,140.80,10.00,29.70,194.00,2.20,10.10,0.60,0.10,13.54,43457
SLEIPNER ØST,1981,Producing,0.20,68.00,13.30,26.60,120.07,0.10,0.30,0.10,-0.20,0.39,43478
SNORRE,1979,Producing,276.90,6.60,4.80,0.00,292.62,68.80,0.30,0.10,0.00,69.29,43718
SNØHVIT,1984,Producing,0.00,223.80,8.10,25.80,264.99,0.00,182.40,6.10,19.00,212.99,2053062
STATFJORD,1974,Producing,577.80,84.60,23.40,0.80,707.66,5.90,10.30,3.90,-0.10,23.51,43658
STATFJORD NORD,1977,Producing,41.60,2.20,1.10,0.00,45.89,3.80,-0.20,0.30,0.00,4.17,43679
STATFJORD ØST,1976,Producing,37.90,4.10,2.10,0.00,45.99,0.80,0.00,0.70,0.00,2.13,43672
SVALIN,1992,Producing,9.30,0.00,0.00,0.00,9.30,5.00,0.00,0.00,0.00,5.00,22507971
SYGNA,1996,Producing,11.30,0.00,0.00,0.00,11.30,1.00,0.00,0.00,0.00,1.00,104718
TAMBAR,1983,Producing,10.40,2.20,0.50,0.00,13.55,0.50,0.10,0.30,0.00,1.17,1028599
TAMBAR ØST,2007,Producing,0.30,0.00,0.00,0.00,0.30,0.00,0.00,0.00,0.00,0.00,4999528
TOMMELITEN GAMMA,1978,Shut down,3.90,9.70,0.60,0.00,14.74,0.00,0.00,0.00,0.00,0.00,43444
TOR,1970,Shut down,24.50,10.90,1.20,0.00,37.68,0.00,0.00,0.00,0.00,0.00,43520
TORDIS,1987,Producing,66.20,4.80,1.90,0.00,74.61,7.10,0.50,0.30,0.00,8.17,43725
TROLL,1979,Producing,284.50,1432.80,24.00,1.50,1764.40,28.00,859.70,14.50,-2.80,912.45,46437
TRYM,1990,Producing,1.50,3.40,0.00,0.00,4.90,0.10,0.50,0.00,0.00,0.60,18081500
TUNE,1995,Producing,3.40,18.70,0.20,0.00,22.48,-0.20,-0.90,0.00,0.00,-1.10,853376
TYRIHANS,1983,Producing,35.20,42.50,7.90,0.00,92.71,8.10,36.30,6.70,0.00,57.13,3960848
ULA,1976,Producing,84.50,3.90,3.20,0.00,94.48,10.10,0.00,0.50,0.00,11.05,43800
URD,2000,Producing,8.00,0.30,0.00,0.00,8.30,1.80,0.00,0.00,0.00,1.80,2834734
UTGARD,1982,Approved for production,1.40,1.90,0.60,0.00,4.44,1.40,1.90,0.60,0.00,4.44,28975098
VALE,1991,Producing,2.70,2.90,0.00,0.00,5.60,0.60,1.00,0.00,0.00,1.60,1578893
VALEMON,1985,Producing,1.90,16.60,0.60,0.00,19.64,1.20,12.30,0.60,0.00,14.64,20460969
VALHALL,1975,Producing,143.60,27.40,5.10,0.00,180.69,29.30,5.40,1.60,0.00,37.74,43548
VARG,1984,Shut down,16.30,0.30,0.00,0.00,16.60,0.00,0.00,0.00,0.00,0.00,43451
VEGA,1981,Producing,9.80,19.50,6.30,0.00,41.27,4.10,11.20,4.20,-0.40,22.88,4467595
VESLEFRIKK,1981,Producing,55.20,5.60,1.90,0.00,64.41,1.10,2.20,0.30,0.00,3.87,43618
VEST EKOFISK,1970,Shut down,12.20,26.00,1.40,0.00,40.86,0.00,0.00,0.00,0.00,0.00,43513
VIGDIS,1986,Producing,69.10,1.80,1.30,0.00,73.37,9.60,0.00,0.20,0.00,9.98,43732
VILJE,2003,Producing,14.40,0.00,0.00,0.00,14.40,3.00,-0.50,0.00,0.00,2.50,3392471
VISUND,1986,Producing,38.20,55.60,6.90,0.00,106.91,8.30,43.70,6.10,0.00,63.59,43745
VISUND SØR,2008,Producing,2.80,6.00,0.80,0.00,10.32,0.80,3.20,0.40,0.00,4.76,20461008
VOLUND,1994,Producing,12.90,1.20,0.00,0.00,14.10,4.20,0.40,0.00,0.00,4.60,4380167
VOLVE,1993,Shut down,10.20,0.90,0.20,0.10,11.58,0.00,0.00,0.00,0.00,0.00,3420717
YME,1987,Shut down,7.90,0.00,0.00,0.00,7.90,0.00,0.00,0.00,0.00,0.00,43807
YTTERGRYTA,2007,Shut down,0.30,2.20,0.40,0.00,3.26,0.00,0.00,0.00,0.00,0.00,4973114
ØST FRIGG,1973,Shut down,0.00,9.20,0.00,0.10,9.30,0.00,0.00,0.00,0.00,0.00,43576
ÅSGARD,1981,Producing,104.70,213.80,39.20,17.10,410.08,11.40,50.70,9.40,0.00,79.96,43765
AASTA HANSTEEN,1997,Approved for production,0.00,45.50,0.00,0.90,46.40,0.00,45.50,0.00,0.90,46.40,23395946
