fldName,fldDiscoveryYear,fldCurrentActivityStatus,fldRecoverableOil,fldRecoverableGas,fldRecoverableOE,fldRemainingOil,fldRemainingGas,fldRemainingOE,fldNpdidField
ALBUSKJELL,1972,Shut down,46.5,97.5,156.0,0.0,0.0,0.0,43437
ALVE,1990,Producing,12.6,42.1,67.9,2.5,12.6,18.7,4444332
ALVHEIM,1998,Producing,296.3,60.4,356.6,93.7,34.0,127.7,2845712
ATLA,2010,Producing,1.9,8.8,10.7,0.6,0.6,1.3,21106284
BALDER,1967,Producing,471.8,12.6,484.3,59.8,2.5,62.3,43562
BLANE,1989,Producing,5.0,0.0,5.0,0.6,0.0,0.6,3437650
BRAGE,1980,Producing,390.0,27.7,434.4,27.0,4.4,31.4,43651
BRYNHILD,1992,Producing,3.8,0.0,3.8,0.6,0.0,0.6,21123063
BYRDING,2005,Approved for production,8.8,0.0,8.8,8.8,0.0,8.8,28975067
BØYLA,2009,Producing,21.4,1.3,22.6,12.6,0.6,13.2,22492497
COD,1968,Shut down,18.2,45.9,70.1,0.0,0.0,0.0,43785
DRAUGEN,1984,Producing,907.0,10.7,951.2,37.7,0.0,40.1,43758
EDDA,1972,Shut down,30.2,12.6,45.2,0.0,0.0,0.0,43541
EDVARD GRIEG,2007,Producing,174.2,15.7,197.1,148.4,13.8,169.5,21675433
EKOFISK,1969,Producing,3426.2,999.5,4618.1,500.1,85.5,617.9,43506
ELDFISK,1970,Producing,833.4,273.0,1162.6,146.6,17.6,172.5,43527
EMBLA,1988,Producing,75.5,42.8,125.4,6.3,16.4,23.8,43534
ENOCH,1985,Producing,1.9,0.0,1.9,0.6,0.0,0.6,3437659
FLYNDRE,1974,Approved for production,1.3,0.0,1.3,1.3,0.0,1.3,24635035
FRAM,1990,Producing,235.2,70.4,317.6,32.7,39.6,78.3,1578840
FRAM H-NORD,2007,Producing,4.4,0.0,4.4,1.3,0.0,1.3,23410947
FRIGG,1969,Shut down,0.0,730.9,734.0,0.0,0.0,0.0,43555
FRØY,1987,Shut down,35.2,10.1,45.9,0.0,0.0,0.0,43597
GAUPE,1985,Producing,2.5,2.5,5.0,1.3,0.0,1.3,18161341
GIMLE,2004,Producing,19.5,6.9,28.8,1.3,1.3,2.5,4005142
GINA KROG,1978,Approved for production,105.7,74.2,218.1,105.7,74.2,218.1,23384544
GJØA,1989,Producing,84.9,226.4,415.3,15.7,98.1,159.0,4467574
GLITNE,1995,Shut down,56.0,0.0,56.0,0.0,0.0,0.0,1272071
GOLIAT,2000,Producing,195.0,0.0,195.0,176.1,0.0,176.1,5774394
GRANE,1991,Producing,907.0,0.0,907.0,235.9,0.0,235.9,1035937
GUDRUN,1975,Producing,84.3,49.7,147.1,36.5,25.2,67.6,18116481
GULLFAKS,1978,Producing,2384.5,145.3,2563.3,101.3,0.0,101.3,43686
GULLFAKS SØR,1978,Producing,390.6,532.8,1070.4,73.6,239.6,387.3,43699
GUNGNE,1982,Producing,1.9,96.9,153.4,0.6,3.1,5.6,43464
GYDA,1980,Producing,227.7,39.0,289.4,0.6,0.6,1.3,43492
HANZ,1997,Approved for production,14.5,2.5,18.2,14.5,2.5,18.2,25307278
HEIDRUN,1985,Producing,1169.9,308.2,1508.0,195.6,197.5,417.0,43771
