fldName,fldDiscoveryYear,fldRecoverableOil,fldRecoverableGas,fldRecoverableOE,fldRemainingOil,fldRemainingGas,fldRemainingOE,fldNpdidField
ATLA,2010,1.9,7.5,9.4,0.6,3.8,4.4,21106284
BØYLA,2009,21.4,1.3,22.6,16.4,0.6,17.0,22492497
EDVARD GRIEG,2007,164.8,11.3,182.1,163.5,11.3,180.8,21675433
FRAM H-NORD,2007,4.4,0.0,4.4,1.9,0.0,1.9,23410947
GIMLE,2004,18.2,5.7,26.3,0.0,0.6,0.6,4005142
GOLIAT,2000,179.3,0.0,179.3,179.3,0.0,179.3,5774394
HYME,2009,26.4,3.8,32.6,16.4,2.5,20.1,20474183
ISLAY,2008,0.0,0.6,0.6,0.0,0.0,0.0,21105675
IVAR AASEN,2008,146.6,27.7,185.0,146.6,27.7,185.0,23384520
JETTE,2009,3.1,0.0,3.1,0.6,0.0,0.6,21613906
JOHAN SVERDRUP,2010,1758.1,53.5,1855.7,1758.1,53.5,1855.7,26376286
KNARR,2008,56.0,1.3,64.4,47.8,0.6,54.4,20460988
MARIA,2010,157.2,15.7,196.9,157.2,15.7,196.9,26465170
MORVIN,2001,63.5,29.6,107.4,22.0,13.8,44.2,4966234
REV,2001,5.0,16.4,21.4,0.6,0.0,0.6,4467554
RINGHORNE ØST,2003,98.8,1.9,100.6,27.7,0.6,28.3,3505505
SKULD,2008,32.1,1.9,35.2,15.7,0.6,16.4,21350124
TAMBAR ØST,2007,1.9,0.0,1.9,0.0,0.0,0.0,4999528
URD,2000,47.2,2.5,50.9,10.1,0.6,10.7,2834734
VILJE,2003,84.3,0.0,84.3,17.6,-3.1,14.5,3392471
VISUND SØR,2008,17.0,47.2,76.1,6.3,34.6,50.4,20461008
YTTERGRYTA,2007,1.9,13.8,20.5,0.0,0.0,0.0,4973114
