Date,North sea,Norwegian sea,Barents sea,Sum
1972,1.92703,0,0,1.92703
1973,1.86953,0,0,1.86953
1974,2.01417,0,0,2.01417
1975,10.9954,0,0,10.9954
1976,16.2268,0,0,16.2268
1977,19.2998,0,0,19.2998
1978,34.8659,0,0,34.8659
1979,44.3193,0,0,44.3193
1980,55.7977,0,0,55.7977
1981,54.6523,0,0,54.6523
1982,54.8174,0,0,54.8174
1983,61.9792,0,0,61.9792
1984,69.7618,0,0,69.7618
1985,73.9868,0,0,73.9868
1986,78.7673,0,0,78.7673
1987,89.2812,0,0,89.2812
1988,97.9455,0,0,97.9455
1989,119.672,0,0,119.672
1990,125.082,0,0,125.082
1991,138.492,0,0,138.492
1992,154.846,0,0,154.846
1993,162.516,0.12314,0,162.64
1994,178.762,3.88699,0,182.649
1995,187.68,8.02964,0,195.709
1996,204.282,20.6336,0,224.916
1997,207.291,25.0168,0,232.308
1998,193.909,31.4665,0,225.376
1999,188.614,41.0511,0,229.665
2000,197.723,45.8902,0,243.613
2001,197.155,54.3556,0,251.511
2002,201.671,56.6938,0,258.365
2003,206.008,55.697,0,261.705
2004,209.29,54.9433,0,264.234
2005,207.321,50.4159,0,257.737
2006,196.072,53.495,0,249.567
2007,182.077,55.9944,0.26959,238.341
2008,174.646,65.8833,3.1084,243.638
2009,161.846,74.6551,4.25636,240.757
2010,153.999,71.0233,6.31284,231.335
2011,142.173,72.0675,5.43682,219.677
2012,150.975,69.4672,5.85174,226.294
2013,142.666,67.3393,5.38926,215.395
2014,140.789,71.1256,6.50803,218.423
2015,156.898,65.904,7.38482,230.187
2016,160.714,62.1366,10.1881,233.039
