Date,North sea,Norwegian sea,Barents sea,Sum
1972-05,0.0191936,0,0,0.0191936
1972-06,0.022422,0,0,0.022422
1972-07,0.0253293,0,0,0.0253293
1972-08,0.0279621,0,0,0.0279621
1972-09,0.0298232,0,0,0.0298232
1972-10,0.0313165,0,0,0.0313165
1972-11,0.0320627,0,0,0.0320627
1972-12,0.0331175,0,0,0.0331175
1973-01,0.0355912,0,0,0.0355912
1973-02,0.0351375,0,0,0.0351375
1973-03,0.0357191,0,0,0.0357191
1973-04,0.0346881,0,0,0.0346881
1973-05,0.0345266,0,0,0.0345266
1973-06,0.0345686,0,0,0.0345686
1973-07,0.034021,0,0,0.034021
1973-08,0.0336036,0,0,0.0336036
1973-09,0.033967,0,0,0.033967
1973-10,0.0342304,0,0,0.0342304
1973-11,0.0340701,0,0,0.0340701
1973-12,0.0322174,0,0,0.0322174
1974-01,0.0291875,0,0,0.0291875
1974-02,0.0290744,0,0,0.0290744
1974-03,0.0269429,0,0,0.0269429
1974-04,0.0258112,0,0,0.0258112
1974-05,0.024677,0,0,0.024677
1974-06,0.0244848,0,0,0.0244848
1974-07,0.0257866,0,0,0.0257866
1974-08,0.0265688,0,0,0.0265688
1974-09,0.0273165,0,0,0.0273165
1974-10,0.027839,0,0,0.027839
1974-11,0.0310872,0,0,0.0310872
1974-12,0.0347099,0,0,0.0347099
1975-01,0.0365671,0,0,0.0365671
1975-02,0.0405279,0,0,0.0405279
1975-03,0.0495085,0,0,0.0495085
1975-04,0.0606711,0,0,0.0606711
1975-05,0.0727281,0,0,0.0727281
1975-06,0.0876474,0,0,0.0876474
1975-07,0.105029,0,0,0.105029
1975-08,0.119648,0,0,0.119648
1975-09,0.139393,0,0,0.139393
1975-10,0.157873,0,0,0.157873
1975-11,0.17194,0,0,0.17194
1975-12,0.189482,0,0,0.189482
1976-01,0.209263,0,0,0.209263
1976-02,0.225454,0,0,0.225454
1976-03,0.237766,0,0,0.237766
1976-04,0.241503,0,0,0.241503
1976-05,0.241618,0,0,0.241618
1976-06,0.246647,0,0,0.246647
1976-07,0.252022,0,0,0.252022
1976-08,0.261056,0,0,0.261056
1976-09,0.262669,0,0,0.262669
1976-10,0.270026,0,0,0.270026
1976-11,0.270826,0,0,0.270826
1976-12,0.27887,0,0,0.27887
1977-01,0.286553,0,0,0.286553
1977-02,0.290166,0,0,0.290166
1977-03,0.294482,0,0,0.294482
1977-04,0.297803,0,0,0.297803
1977-05,0.296871,0,0,0.296871
1977-06,0.291003,0,0,0.291003
1977-07,0.285806,0,0,0.285806
1977-08,0.282127,0,0,0.282127
1977-09,0.278909,0,0,0.278909
1977-10,0.275939,0,0,0.275939
1977-11,0.283523,0,0,0.283523
1977-12,0.286799,0,0,0.286799
1978-01,0.291189,0,0,0.291189
1978-02,0.294814,0,0,0.294814
1978-03,0.298076,0,0,0.298076
1978-04,0.308845,0,0,0.308845
1978-05,0.324314,0,0,0.324314
1978-06,0.32936,0,0,0.32936
1978-07,0.337989,0,0,0.337989
1978-08,0.346146,0,0,0.346146
1978-09,0.353931,0,0,0.353931
1978-10,0.356624,0,0,0.356624
1978-11,0.358963,0,0,0.358963
1978-12,0.355764,0,0,0.355764
1979-01,0.352517,0,0,0.352517
1979-02,0.350943,0,0,0.350943
1979-03,0.35014,0,0,0.35014
