dscName,kind,dscDiscoveryYear,dscCurrentActivityStatus,oil,gas,oe
31/2-1 TROLL VEST,reserve,1979,Producing,196.2,5608.2,5980.4
16/2-6 JOHAN SVERDRUP,reserve,2010,Approved for production,1758.1,53.5,1855.7
30/6-1 OSEBERG,reserve,1979,Producing,195.0,498.8,735.6
2/4-2 EKOFISK,reserve,1969,Producing,544.1,90.6,649.0
34/10-2 GULLFAKS SØR,reserve,1978,Producing,86.8,267.3,434.2
34/8-1 VISUND,reserve,1986,Producing,56.6,286.8,416.3
34/4-1 SNORRE,reserve,1979,Producing,409.5,1.9,412.6
34/11-1 KVITEBJØRN,reserve,1994,Producing,55.4,220.2,353.2
25/11-15 GRANE,reserve,1991,Producing,260.4,0.0,260.4
2/8-6 VALHALL,reserve,1975,Producing,204.4,32.7,255.1
15/5-1 GINA KROG,reserve,1978,Approved for production,106.3,75.5,221.2
35/9-1 GJØA,reserve,1989,Producing,21.4,122.7,201.2
30/7-6 MARTIN LINGE,reserve,1978,Approved for production,37.1,122.7,199.1
30/9-3 OSEBERG SØR,reserve,1984,Producing,105.7,69.2,189.2
34/10-23 VALEMON,reserve,1985,Producing,27.7,143.4,185.4
16/1-9 IVAR AASEN,reserve,2008,Producing,146.6,27.7,185.0
16/1-8 EDVARD GRIEG,reserve,2007,Producing,163.5,11.3,180.8
2/7-1 ELDFISK,reserve,1970,Producing,153.5,13.8,164.9
1/9-1 TOMMELITEN ALPHA,resource,1977,"Production likely, but unclarified",52.1,91.6,150.3
33/12-1 STATFJORD,reserve,1974,Producing,35.2,61.6,148.4
35/8-1 VEGA,reserve,1981,Producing,21.4,64.2,138.0
35/2-1 (Peon),resource,2005,"Production likely, but unclarified",0.0,122.9,122.9
24/6-2 ALVHEIM,reserve,1998,Producing,91.8,30.2,122.0
34/12-1 (Afrodite),resource,2008,"Production likely, but unclarified",10.4,100.0,120.5
35/9-7 (Skarfjell),resource,2012,Production in clarification phase,69.3,26.6,111.3
34/10-1 GULLFAKS,reserve,1978,Producing,103.2,0.0,103.2
30/11-8 S (Krafla),resource,2011,"Production likely, but unclarified",63.5,23.7,96.1
35/11-4 FRAM,reserve,1990,Producing,39.6,45.3,92.1
2/4-21 (King Lear),resource,2012,"Production likely, but unclarified",0.0,50.9,85.5
15/3-1 S GUDRUN,reserve,1975,Producing,48.4,25.2,85.5
