fldName,fldDiscoveryYear,fldCurrentActivityStatus,fldRemainingGas,cumulativeMboe,cumulativePercentage
TROLL,1979,Producing,5407.5,5407.5,48.2
SNØHVIT,1984,Producing,1147.3,6554.8,58.4
ORMEN LANGE,1997,Producing,779.3,7334.1,65.4
OSEBERG,1979,Producing,449.1,7783.2,69.4
ÅSGARD,1981,Producing,318.9,8102.1,72.2
AASTA HANSTEEN,1997,Approved for production,286.2,8388.3,74.8
VISUND,1986,Producing,274.9,8663.2,77.2
GULLFAKS SØR,1978,Producing,239.6,8902.8,79.3
TYRIHANS,1983,Producing,228.3,9131.1,81.4
HEIDRUN,1985,Producing,197.5,9328.6,83.1
KVITEBJØRN,1994,Producing,187.4,9516.0,84.8
SKARV,1998,Producing,187.4,9703.4,86.5
MARTIN LINGE,1978,Approved for production,162.3,9865.7,87.9
DVALIN,2010,Approved for production,112.6,9978.3,88.9
GJØA,1989,Producing,98.1,10076.4,89.8
EKOFISK,1969,Producing,85.5,10161.9,90.6
MIKKEL,1987,Producing,85.5,10247.4,91.3
NJORD,1986,Producing,83.0,10330.4,92.1
VALEMON,1985,Producing,77.4,10407.8,92.8
GINA KROG,1978,Approved for production,74.2,10482.0,93.4
VEGA,1981,Producing,70.4,10552.4,94.0
OSEBERG SØR,1984,Producing,66.0,10618.4,94.6
STATFJORD,1974,Producing,64.8,10683.2,95.2
SLEIPNER VEST,1974,Producing,63.5,10746.7,95.8
JOHAN SVERDRUP,2010,Approved for production,54.1,10800.8,96.3
FRAM,1990,Producing,39.6,10840.4,96.6
VALHALL,1975,Producing,34.0,10874.4,96.9
ALVHEIM,1998,Producing,34.0,10908.4,97.2
KRISTIN,1997,Producing,33.3,10941.7,97.5
IVAR AASEN,2008,Producing,27.7,10969.4,97.8
GUDRUN,1975,Producing,25.2,10994.6,98.0
VISUND SØR,2008,Producing,20.1,11014.7,98.2
NORNE,1992,Producing,18.9,11033.6,98.3
ELDFISK,1970,Producing,17.6,11051.2,98.5
EMBLA,1988,Producing,16.4,11067.6,98.6
MARULK,1992,Producing,15.7,11083.3,98.8
VESLEFRIKK,1981,Producing,13.8,11097.1,98.9
EDVARD GRIEG,2007,Producing,13.8,11110.9,99.0
MARIA,2010,Approved for production,13.8,11124.7,99.2
ALVE,1990,Producing,12.6,11137.3,99.3
UTGARD,1982,Approved for production,12.0,11149.3,99.4
MORVIN,2001,Producing,8.8,11158.1,99.4
SIGYN,1982,Producing,6.3,11164.4,99.5
VALE,1991,Producing,6.3,11170.7,99.6
BRAGE,1980,Producing,4.4,11175.1,99.6
TRESTAKK,1986,Approved for production,4.4,11179.5,99.6
HEIMDAL,1972,Producing,3.8,11183.3,99.7
HYME,2009,Producing,3.8,11187.1,99.7
GUNGNE,1982,Producing,3.1,11190.2,99.7
TORDIS,1987,Producing,3.1,11193.3,99.8
SKIRNE,1990,Producing,3.1,11196.4,99.8
TRYM,1990,Producing,3.1,11199.5,99.8
BALDER,1967,Producing,2.5,11202.0,99.8
VOLUND,1994,Producing,2.5,11204.5,99.9
HANZ,1997,Approved for production,2.5,11207.0,99.9
SNORRE,1979,Producing,1.9,11208.9,99.9
SLEIPNER ØST,1981,Producing,1.9,11210.8,99.9
ODA,2011,Approved for production,1.9,11212.7,99.9
GIMLE,2004,Producing,1.3,11214.0,99.9
HOD,1974,Producing,0.6,11214.6,100.0
GYDA,1980,Producing,0.6,11215.2,100.0
OSEBERG ØST,1981,Producing,0.6,11215.8,100.0
TAMBAR,1983,Producing,0.6,11216.4,100.0
OSELVAR,1991,Producing,0.6,11217.0,100.0
RINGHORNE ØST,2003,Producing,0.6,11217.6,100.0
KNARR,2008,Producing,0.6,11218.2,100.0
SKULD,2008,Producing,0.6,11218.8,100.0
BØYLA,2009,Producing,0.6,11219.4,100.0
ATLA,2010,Producing,0.6,11220.0,100.0
