fldName,fldDiscoveryYear,fldCurrentActivityStatus,fldRemainingOil,cumulativeMboe,cumulativePercentage
JOHAN SVERDRUP,2010,Approved for production,1758.1,1758.1,27.3
EKOFISK,1969,Producing,544.1,2302.2,35.8
SNORRE,1979,Producing,409.5,2711.7,42.1
GRANE,1991,Producing,260.4,2972.1,46.2
HEIDRUN,1985,Producing,217.0,3189.1,49.5
VALHALL,1975,Producing,204.4,3393.5,52.7
TROLL,1979,Producing,196.2,3589.7,55.8
OSEBERG,1979,Producing,195.0,3784.7,58.8
GOLIAT,2000,Producing,179.3,3964.0,61.6
EDVARD GRIEG,2007,Producing,163.5,4127.5,64.1
MARIA,2010,Approved for production,157.2,4284.7,66.6
ELDFISK,1970,Producing,153.5,4438.2,68.9
IVAR AASEN,2008,Producing,146.6,4584.8,71.2
GINA KROG,1978,Approved for production,106.3,4691.1,72.9
OSEBERG SØR,1984,Producing,105.7,4796.8,74.5
GULLFAKS,1978,Producing,103.2,4900.0,76.1
ALVHEIM,1998,Producing,91.8,4991.8,77.5
GULLFAKS SØR,1978,Producing,86.8,5078.6,78.9
ÅSGARD,1981,Producing,79.9,5158.5,80.1
BALDER,1967,Producing,71.7,5230.2,81.3
VIGDIS,1986,Producing,71.7,5301.9,82.4
TYRIHANS,1983,Producing,61.6,5363.5,83.3
ULA,1976,Producing,58.5,5422.0,84.2
SKARV,1998,Producing,58.5,5480.5,85.1
VISUND,1986,Producing,56.6,5537.1,86.0
KVITEBJØRN,1994,Producing,55.4,5592.5,86.9
OSEBERG ØST,1981,Producing,52.2,5644.7,87.7
GUDRUN,1975,Producing,48.4,5693.1,88.4
TORDIS,1987,Producing,48.4,5741.5,89.2
KNARR,2008,Producing,47.8,5789.3,89.9
DRAUGEN,1984,Producing,47.2,5836.5,90.7
FRAM,1990,Producing,39.6,5876.1,91.3
MARTIN LINGE,1978,Approved for production,37.1,5913.2,91.9
STATFJORD,1974,Producing,35.2,5948.4,92.4
STATFJORD NORD,1977,Producing,32.7,5981.1,92.9
SVALIN,1992,Producing,29.6,6010.7,93.4
VALEMON,1985,Producing,27.7,6038.4,93.8
RINGHORNE ØST,2003,Producing,27.7,6066.1,94.2
VOLUND,1994,Producing,26.4,6092.5,94.6
BRAGE,1980,Producing,24.5,6117.0,95.0
KRISTIN,1997,Producing,23.9,6140.9,95.4
MORVIN,2001,Producing,22.0,6162.9,95.7
VEGA,1981,Producing,21.4,6184.3,96.1
GJØA,1989,Producing,21.4,6205.7,96.4
NJORD,1986,Producing,18.9,6224.6,96.7
VILJE,2003,Producing,17.6,6242.2,97.0
BØYLA,2009,Producing,16.4,6258.6,97.2
HYME,2009,Producing,16.4,6275.0,97.5
SKULD,2008,Producing,15.7,6290.7,97.7
HANZ,1997,Approved for production,14.5,6305.2,98.0
MIKKEL,1987,Producing,13.8,6319.0,98.2
NORNE,1992,Producing,13.8,6332.8,98.4
SLEIPNER VEST,1974,Producing,13.2,6346.0,98.6
EMBLA,1988,Producing,12.6,6358.6,98.8
URD,2000,Producing,10.1,6368.7,98.9
SYGNA,1996,Producing,6.9,6375.6,99.0
VESLEFRIKK,1981,Producing,6.3,6381.9,99.1
VISUND SØR,2008,Producing,6.3,6388.2,99.2
STATFJORD ØST,1976,Producing,5.0,6393.2,99.3
HOD,1974,Producing,4.4,6397.6,99.4
SIGYN,1982,Producing,4.4,6402.0,99.5
BRYNHILD,1992,Producing,3.8,6405.8,99.5
TAMBAR,1983,Producing,3.1,6408.9,99.6
VALE,1991,Producing,3.1,6412.0,99.6
VOLVE,1993,Shut down,3.1,6415.1,99.7
FLYNDRE,1974,Approved for production,2.5,6417.6,99.7
TRYM,1990,Producing,2.5,6420.1,99.7
OSELVAR,1991,Producing,2.5,6422.6,99.8
ALVE,1990,Producing,1.9,6424.5,99.8
SKIRNE,1990,Producing,1.9,6426.4,99.8
MARULK,1992,Producing,1.9,6428.3,99.9
FRAM H-NORD,2007,Producing,1.9,6430.2,99.9
GYDA,1980,Producing,1.3,6431.5,99.9
BLANE,1989,Producing,1.3,6432.8,99.9
SLEIPNER ØST,1981,Producing,0.6,6433.4,99.9
GUNGNE,1982,Producing,0.6,6434.0,100.0
VARG,1984,Shut down,0.6,6434.6,100.0
JOTUN,1994,Shut down,0.6,6435.2,100.0
REV,2001,Producing,0.6,6435.8,100.0
JETTE,2009,Shut down,0.6,6436.4,100.0
ATLA,2010,Producing,0.6,6437.0,100.0
