North sea,Norwegian sea,Barents sea
224.6,0.0,0.0
224.6,0.0,0.0
224.6,6.9,0.0
224.6,6.9,0.0
224.6,1327.8,0.0
369.9,1603.3,0.0
369.9,1603.3,0.0
369.9,1603.3,0.0
442.9,1603.3,0.0
442.9,1603.3,0.0
442.9,1616.8,0.0
442.9,1616.8,0.0
442.9,1616.8,61.0
442.9,1616.8,61.0
442.9,1620.6,61.0
442.9,1625.7,61.0
727.2,1625.7,61.0
727.2,1625.7,1472.5
795.8,1637.6,1495.7
795.8,1637.6,1495.7
1566.3,1637.6,1495.7
1566.3,1754.0,1495.7
1568.8,1754.0,1495.7
1568.8,1754.0,1495.7
1568.8,1754.0,1495.7
1568.8,1754.0,1495.7
1568.8,1754.0,1495.7
1568.8,1754.0,1495.7
1568.8,1754.0,1495.7
1685.2,1862.0,1495.7
1685.2,1862.0,1495.7
1685.2,1862.0,1495.7
2197.2,1862.0,1495.7
2197.2,1862.0,1495.7
2197.2,1862.0,1495.7
2197.2,1862.0,1495.7
2202.7,1862.0,1495.7
2202.7,1862.0,1495.7
2202.7,1862.0,1495.7
2202.7,1862.0,1495.7
2202.7,1862.0,1495.7
2202.7,1862.0,1495.7
2202.7,1862.0,1495.7
2203.3,1862.0,1495.7
2203.3,1862.0,1495.7
2203.3,1862.0,1495.7
2203.3,1894.1,1495.7
2234.1,1894.1,1495.7
2234.1,1904.8,1567.2
2234.1,1904.8,1598.7
2386.9,1904.8,1598.7
2386.9,1906.3,1598.7
2398.2,1906.3,1598.7
2400.7,1906.3,1598.7
2534.7,1906.3,1637.8
2534.7,1906.3,1637.8
2534.7,1906.3,1637.8
2534.7,1906.3,1637.8
2534.7,1906.3,1637.8
2881.3,1906.3,1637.8
2881.3,1906.3,1637.8
2953.6,1915.2,1637.8
2953.6,1915.2,1637.8
2953.6,1915.2,1637.8
2953.6,1915.2,1637.8
2953.6,2083.7,1637.8
2953.6,2083.7,1637.8
2953.6,2083.7,1637.8
2953.6,2083.7,1637.8
2953.6,2131.2,1637.8
3220.3,2131.2,1637.8
3220.3,2138.8,1637.8
3220.3,2138.8,1637.8
3220.3,2138.8,1637.8
3220.3,2138.8,1637.8
3220.3,2138.8,1637.8
3248.0,2138.8,1637.8
3248.0,2138.8,1637.8
3248.0,2177.2,1637.8
3248.0,2179.7,1637.8
3248.0,2465.9,1637.8
3287.6,2465.9,1637.8
3287.6,2465.9,1637.8
3387.6,2465.9,1637.8
3387.6,2466.2,1637.8
3387.6,2466.2,1637.8
3387.6,2466.2,1637.8
3387.6,2466.2,1637.8
3387.6,2478.3,1637.8
3387.6,2478.3,1637.8
3387.6,2478.3,1637.8
3387.6,2478.3,1637.8
3387.6,2747.5,1637.8
3814.1,2953.8,1637.8
3814.1,2953.8,1637.8
3814.1,2953.8,1637.8
3814.1,2953.8,1653.5
3838.6,2953.8,1653.5
3838.6,2953.8,1653.5
3838.6,3262.0,1653.5
3838.6,3262.0,1741.3
3896.5,3374.7,1741.3
3896.5,3374.7,1741.3
3896.5,3374.7,1741.3
3896.5,3374.7,1741.3
3896.5,3374.7,1741.3
3896.5,3374.7,1741.3
3896.5,3374.7,1741.3
3896.5,3527.9,1741.3
3896.5,3527.9,1741.3
3896.5,3527.9,1741.3
3896.5,3527.9,
3896.5,3527.9,
3908.5,3527.9,
3908.5,3527.9,
3908.5,3594.6,
3908.5,3594.6,
3908.5,3594.6,
3908.5,3610.3,
3908.5,3610.3,
3908.5,3610.3,
3908.5,3610.3,
3908.5,3610.3,
3908.5,3610.3,
4770.2,3610.3,
4770.2,3610.3,
4770.2,3610.3,
4770.2,3611.6,
4770.2,3611.6,
4770.2,3611.6,
4770.2,3611.6,
4770.2,3611.6,
4770.8,3611.6,
