date,mma,1-0 - 50% produsert,1-50 - 60% produsert,3-60 - 70% produsert,4-70 - 80% produsert,5-80 - 90% produsert,6-90 - 100% produsert
1971-06,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1971-07,0.00,0.01,0.00,0.00,0.00,0.00,0.00
1971-08,0.01,0.01,0.00,0.00,0.00,0.00,0.00
1971-09,0.01,0.01,0.00,0.00,0.00,0.00,0.00
1971-10,0.01,0.02,0.00,0.00,0.00,0.00,0.00
1971-11,0.01,0.01,0.00,0.00,0.00,0.00,0.00
1971-12,0.01,0.01,0.00,0.00,0.00,0.00,0.00
1972-01,0.01,0.01,0.00,0.00,0.00,0.00,0.00
1972-02,0.01,0.03,0.00,0.00,0.00,0.00,0.00
1972-03,0.01,0.04,0.00,0.00,0.00,0.00,0.00
1972-04,0.02,0.04,0.00,0.00,0.00,0.00,0.00
1972-05,0.02,0.04,0.00,0.00,0.00,0.00,0.00
1972-06,0.02,0.04,0.00,0.00,0.00,0.00,0.00
1972-07,0.03,0.04,0.00,0.00,0.00,0.00,0.00
1972-08,0.03,0.04,0.00,0.00,0.00,0.00,0.00
1972-09,0.03,0.04,0.00,0.00,0.00,0.00,0.00
1972-10,0.03,0.04,0.00,0.00,0.00,0.00,0.00
1972-11,0.03,0.02,0.00,0.00,0.00,0.00,0.00
1972-12,0.03,0.03,0.00,0.00,0.00,0.00,0.00
1973-01,0.04,0.04,0.00,0.00,0.00,0.00,0.00
1973-02,0.04,0.03,0.00,0.00,0.00,0.00,0.00
1973-03,0.04,0.04,0.00,0.00,0.00,0.00,0.00
1973-04,0.03,0.03,0.00,0.00,0.00,0.00,0.00
1973-05,0.03,0.04,0.00,0.00,0.00,0.00,0.00
1973-06,0.03,0.04,0.00,0.00,0.00,0.00,0.00
1973-07,0.03,0.03,0.00,0.00,0.00,0.00,0.00
1973-08,0.03,0.04,0.00,0.00,0.00,0.00,0.00
1973-09,0.03,0.04,0.00,0.00,0.00,0.00,0.00
1973-10,0.03,0.04,0.00,0.00,0.00,0.00,0.00
1973-11,0.03,0.02,0.00,0.00,0.00,0.00,0.00
1973-12,0.03,0.00,0.00,0.00,0.00,0.00,0.00
1974-01,0.03,0.00,0.00,0.00,0.00,0.00,0.00
1974-02,0.03,0.03,0.00,0.00,0.00,0.00,0.00
1974-03,0.03,0.02,0.00,0.00,0.00,0.00,0.00
1974-04,0.03,0.01,0.00,0.00,0.00,0.00,0.00
1974-05,0.02,0.03,0.00,0.00,0.00,0.00,0.00
1974-06,0.02,0.04,0.00,0.00,0.00,0.00,0.00
1974-07,0.03,0.05,0.00,0.00,0.00,0.00,0.00
1974-08,0.03,0.05,0.00,0.00,0.00,0.00,0.00
1974-09,0.03,0.05,0.00,0.00,0.00,0.00,0.00
1974-10,0.03,0.04,0.00,0.00,0.00,0.00,0.00
1974-11,0.03,0.06,0.00,0.00,0.00,0.00,0.00
1974-12,0.03,0.05,0.00,0.00,0.00,0.00,0.00
1975-01,0.04,0.02,0.00,0.00,0.00,0.00,0.00
1975-02,0.04,0.08,0.00,0.00,0.00,0.00,0.00
1975-03,0.05,0.12,0.00,0.00,0.00,0.00,0.00
1975-04,0.06,0.15,0.00,0.00,0.00,0.00,0.00
1975-05,0.07,0.17,0.00,0.00,0.00,0.00,0.00
1975-06,0.09,0.22,0.00,0.00,0.00,0.00,0.00
1975-07,0.11,0.25,0.00,0.00,0.00,0.00,0.00
1975-08,0.12,0.22,0.00,0.00,0.00,0.00,0.00
1975-09,0.14,0.29,0.00,0.00,0.00,0.00,0.00
1975-10,0.16,0.26,0.00,0.00,0.00,0.00,0.00
1975-11,0.17,0.23,0.00,0.00,0.00,0.00,0.00
1975-12,0.19,0.25,0.00,0.00,0.00,0.00,0.00
1976-01,0.21,0.26,0.00,0.00,0.00,0.00,0.00
1976-02,0.23,0.28,0.00,0.00,0.00,0.00,0.00
1976-03,0.24,0.27,0.00,0.00,0.00,0.00,0.00
1976-04,0.24,0.20,0.00,0.00,0.00,0.00,0.00
1976-05,0.24,0.17,0.00,0.00,0.00,0.00,0.00
1976-06,0.25,0.28,0.00,0.00,0.00,0.00,0.00
1976-07,0.25,0.32,0.00,0.00,0.00,0.00,0.00
1976-08,0.26,0.32,0.00,0.00,0.00,0.00,0.00
1976-09,0.26,0.31,0.00,0.00,0.00,0.00,0.00
1976-10,0.27,0.35,0.00,0.00,0.00,0.00,0.00
1976-11,0.27,0.24,0.00,0.00,0.00,0.00,0.00
1976-12,0.28,0.35,0.00,0.00,0.00,0.00,0.00
1977-01,0.29,0.34,0.00,0.00,0.00,0.00,0.00
1977-02,0.29,0.34,0.00,0.00,0.00,0.00,0.00
1977-03,0.29,0.32,0.00,0.00,0.00,0.00,0.00
1977-04,0.30,0.24,0.00,0.00,0.00,0.00,0.00
1977-05,0.30,0.16,0.00,0.00,0.00,0.00,0.00
1977-06,0.29,0.21,0.00,0.00,0.00,0.00,0.00
1977-07,0.29,0.26,0.00,0.00,0.00,0.00,0.00
1977-08,0.28,0.28,0.00,0.00,0.00,0.00,0.00
1977-09,0.28,0.27,0.00,0.00,0.00,0.00,0.00
1977-10,0.28,0.31,0.00,0.00,0.00,0.00,0.00
1977-11,0.28,0.33,0.00,0.00,0.00,0.00,0.00
1977-12,0.29,0.39,0.00,0.00,0.00,0.00,0.00
1978-01,0.29,0.40,0.00,0.00,0.00,0.00,0.00
1978-02,0.29,0.38,0.00,0.00,0.00,0.00,0.00
